(MVA map: LMT)            N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N041.47.25.190 W121.36.44.470 N041.47.03.305 W121.37.05.670
                          N041.47.25.190 W121.36.01.385 N041.47.25.190 W121.36.44.470
                          N041.47.25.190 W121.34.02.388 N041.45.37.135 W121.34.02.388
                          N041.47.39.552 W122.12.01.111 N041.45.56.284 W122.09.22.448
                          N041.48.17.849 W121.44.33.619 N041.41.24.096 W121.40.48.619
                          N041.48.17.849 W121.44.33.619 N041.48.17.849 W121.44.04.211
                          N041.48.17.849 W121.44.04.211 N041.48.22.637 W121.41.37.175
                          N041.48.22.637 W121.41.37.175 N041.48.36.998 W121.39.10.822
                          N041.48.24.688 W121.47.01.339 N041.48.17.849 W121.44.33.619
                          N041.48.36.998 W121.39.10.822 N041.49.00.251 W121.36.47.205
                          N041.48.36.998 W121.06.05.488 N041.51.08.822 W121.03.48.710
                          N041.48.40.418 W121.49.27.008 N041.48.24.688 W121.47.01.339
                          N041.49.00.251 W121.36.47.205 N041.49.33.077 W121.34.26.324
                          N041.49.06.406 W121.51.50.625 N041.48.40.418 W121.49.27.008
                          N041.49.32.394 W122.14.26.780 N041.47.39.552 W122.12.01.111
                          N041.49.33.077 W121.34.26.324 N041.50.14.795 W121.32.10.230
                          N041.49.40.600 W121.54.10.138 N041.49.06.406 W121.51.50.625
                          N041.50.14.795 W121.32.10.230 N041.51.05.403 W121.29.58.923
                          N041.50.19.582 W120.27.29.834 N041.55.21.178 W120.25.31.521
                          N041.50.24.369 W121.56.25.549 N041.49.40.600 W121.54.10.138
                          N041.51.05.403 W121.29.58.923 N041.52.04.217 W121.27.54.454
                          N041.51.08.822 W121.03.48.710 N041.53.49.536 W121.01.49.713
                          N041.51.16.345 W121.58.35.488 N041.50.24.369 W121.56.25.549
                          N041.51.34.810 W122.16.38.771 N041.49.32.394 W122.14.26.780
                          N041.52.04.217 W121.27.54.454 N041.53.11.239 W121.25.56.825
                          N041.52.17.211 W122.00.38.588 N041.51.16.345 W121.58.35.488
                          N041.52.19.263 W123.01.30.564 N041.47.23.138 W122.59.11.050
                          N041.53.11.239 W121.25.56.825 N041.54.25.099 W121.24.07.403
                          N041.53.24.916 W122.02.34.850 N041.52.17.211 W122.00.38.588
                          N041.53.45.433 W122.18.36.400 N041.51.34.810 W122.16.38.771
                          N041.53.49.536 W121.01.49.713 N041.56.36.406 W121.00.09.181
                          N041.54.25.099 W121.24.07.403 N041.55.45.798 W121.22.27.555
                          N041.54.40.828 W122.04.22.220 N041.53.24.916 W122.02.34.850
                          N041.55.21.178 W120.25.31.521 N042.00.28.928 W120.24.08.087
                          N041.55.26.649 W121.12.57.874 N041.55.48.533 W121.12.36.673
                          N041.55.26.649 W121.13.41.643 N041.55.26.649 W121.12.57.874
                          N041.55.45.798 W121.22.27.555 N041.57.12.652 W121.20.57.281
                          N041.55.48.533 W121.12.36.673 N041.55.58.792 W121.12.36.673
                          N041.55.48.533 W121.14.02.844 N041.55.26.649 W121.13.41.643
                          N041.55.58.792 W121.14.02.844 N041.55.48.533 W121.14.02.844
                          N041.55.58.792 W121.12.36.673 N041.56.20.676 W121.13.08.816
                          N041.55.58.792 W121.10.26.734 N041.55.58.792 W121.11.53.588
                          N041.55.58.792 W121.11.53.588 N041.57.14.704 W121.10.59.561
                          N041.56.00.843 W120.44.39.090 N041.56.22.044 W120.44.17.205
                          N041.56.00.843 W120.45.22.175 N041.56.00.843 W120.44.39.090
                          N041.56.02.895 W122.06.00.017 N041.54.40.828 W122.04.22.220
                          N041.56.02.895 W122.20.18.299 N042.00.02.257 W122.09.27.920
                          N041.56.02.895 W122.20.18.299 N041.53.45.433 W122.18.36.400
                          N041.56.02.895 W122.20.18.299 N041.42.36.588 W122.56.17.342
                          N041.56.20.676 W121.13.08.816 N041.56.20.676 W121.13.30.701
                          N041.56.20.676 W121.13.30.701 N041.55.58.792 W121.14.02.844
                          N041.56.20.676 W121.13.08.816 N041.56.42.561 W121.12.36.673
                          N041.56.22.044 W120.44.17.205 N041.56.32.986 W120.44.17.205
                          N041.56.22.044 W120.45.43.375 N041.56.00.843 W120.45.22.175
                          N041.56.32.986 W120.46.27.144 N041.56.32.986 W120.47.53.315
                          N041.56.32.986 W120.47.53.315 N041.57.48.898 W120.46.59.287
                          N041.56.32.986 W120.45.43.375 N041.56.22.044 W120.45.43.375
                          N041.56.32.986 W120.44.17.205 N041.56.54.871 W120.44.49.348
                          N041.56.36.406 W121.00.09.181 N041.59.30.114 W120.58.49.166
                          N041.56.42.561 W121.14.02.844 N041.56.20.676 W121.13.30.701
                          N041.56.42.561 W121.12.36.673 N041.56.52.819 W121.12.36.673
                          N041.56.52.819 W121.14.02.844 N041.56.42.561 W121.14.02.844
                          N041.56.52.819 W121.12.36.673 N041.57.14.704 W121.12.57.874
                          N041.56.54.871 W120.44.49.348 N041.56.54.871 W120.45.11.233
                          N041.56.54.871 W120.45.11.233 N041.56.32.986 W120.45.43.375
                          N041.56.54.871 W120.44.49.348 N041.57.16.071 W120.44.17.205
                          N041.57.12.652 W121.20.57.281 N041.58.44.977 W121.19.37.266
                          N041.57.14.704 W121.13.41.643 N041.56.52.819 W121.14.02.844
                          N041.57.14.704 W121.12.57.874 N041.57.14.704 W121.13.41.643
                          N041.57.14.704 W121.10.59.561 N041.55.26.649 W121.10.59.561
                          N041.57.16.071 W120.49.52.312 N041.57.48.898 W120.49.19.485
                          N041.57.16.071 W120.45.43.375 N041.56.54.871 W120.45.11.233
                          N041.57.16.071 W120.44.17.205 N041.57.27.014 W120.44.17.205
                          N041.57.23.594 W123.03.15.199 N041.52.19.263 W123.01.30.564
                          N041.57.27.014 W120.45.43.375 N041.57.16.071 W120.45.43.375
                          N041.57.27.014 W120.44.17.205 N041.57.48.898 W120.44.39.090
                          N041.57.30.433 W122.07.28.923 N041.56.02.895 W122.06.00.017
                          N041.57.48.898 W120.46.59.287 N041.56.00.843 W120.46.59.287
                          N041.57.48.898 W120.49.19.485 N041.56.00.843 W120.49.19.485
                          N041.57.48.898 W120.44.39.090 N041.57.48.898 W120.45.22.175
                          N041.57.48.898 W120.45.22.175 N041.57.27.014 W120.45.43.375
                          N041.58.26.512 W122.21.43.786 N041.56.02.895 W122.20.18.299
                          N041.58.44.977 W121.19.37.266 N042.00.22.090 W121.18.28.193
                          N041.59.04.126 W122.08.46.202 N041.57.30.433 W122.07.28.923
                          N041.59.30.114 W120.58.49.166 N042.02.27.925 W120.57.49.667
                          N042.00.02.257 W122.09.27.920 N042.02.41.603 W122.02.13.649
                          N042.00.02.257 W122.09.27.920 N041.59.04.126 W122.08.46.202
                          N042.00.22.090 W121.18.28.193 N042.02.03.305 W121.17.30.746
                          N042.00.28.928 W120.24.08.087 N042.05.40.783 W120.23.20.898
                          N042.00.54.916 W122.22.52.859 N041.58.26.512 W122.21.43.786
                          N042.02.03.305 W121.17.30.746 N042.03.47.941 W121.16.45.609
                          N042.02.27.925 W120.57.49.667 N042.05.28.473 W120.57.10.685
                          N042.02.33.397 W123.04.24.272 N041.57.23.594 W123.03.15.199
                          N042.03.27.424 W122.23.43.467 N042.00.54.916 W122.22.52.859
                          N042.03.47.941 W121.16.45.609 N042.05.35.311 W121.16.12.783
                          N042.03.53.412 W122.02.56.050 N042.02.41.603 W122.02.13.649
                          N042.04.53.594 W121.56.57.692 N042.06.41.649 W121.56.03.664
                          N042.04.53.594 W121.54.15.609 N042.05.14.795 W121.53.54.409
                          N042.04.53.594 W121.54.58.695 N042.04.53.594 W121.54.15.609
                          N042.05.07.956 W122.03.29.561 N042.03.53.412 W122.02.56.050
                          N042.05.14.795 W121.53.54.409 N042.05.25.737 W121.53.54.409
                          N042.05.14.795 W121.55.20.579 N042.04.53.594 W121.54.58.695
                          N042.05.25.737 W121.53.54.409 N042.05.47.622 W121.54.26.552
                          N042.05.25.737 W121.55.20.579 N042.05.14.795 W121.55.20.579
                          N042.05.28.473 W120.57.10.685 N042.08.31.071 W120.56.53.588
                          N042.05.31.892 W120.57.10.002 N042.07.24.050 W121.19.56.415
                          N042.05.31.892 W120.57.10.002 N042.06.41.649 W120.57.01.111
                          N042.05.35.311 W121.16.12.783 N042.07.04.901 W121.15.55.002
                          N042.05.40.783 W120.23.20.898 N042.10.54.688 W120.23.10.640
                          N042.05.47.622 W121.54.26.552 N042.05.47.622 W121.54.48.436
                          N042.05.47.622 W121.54.48.436 N042.05.25.737 W121.55.20.579
                          N042.05.47.622 W121.54.26.552 N042.06.08.822 W121.53.54.409
                          N042.06.02.667 W122.24.16.293 N042.03.27.424 W122.23.43.467
                          N042.06.08.822 W121.55.20.579 N042.05.47.622 W121.54.48.436
                          N042.06.08.822 W121.53.54.409 N042.06.19.764 W121.53.54.409
                          N042.06.19.764 W121.55.20.579 N042.06.08.822 W121.55.20.579
                          N042.06.19.764 W121.53.54.409 N042.06.41.649 W121.54.15.609
                          N042.06.23.868 W122.03.54.865 N042.05.07.956 W122.03.29.561
                          N042.06.35.494 W122.18.29.561 N042.06.35.494 W122.17.46.476
                          N042.06.35.494 W122.17.46.476 N042.06.57.378 W122.17.24.591
                          N042.06.35.494 W122.16.19.622 N042.06.35.494 W122.15.36.537
                          N042.06.35.494 W122.15.36.537 N042.06.46.436 W122.15.15.336
                          N042.06.41.649 W121.54.58.695 N042.06.19.764 W121.55.20.579
                          N042.06.41.649 W121.56.03.664 N042.06.41.649 W121.57.29.834
                          N042.06.41.649 W120.57.01.111 N042.09.44.248 W120.56.52.904
                          N042.06.41.649 W121.54.15.609 N042.06.41.649 W121.54.58.695
                          N042.06.46.436 W122.15.15.336 N042.07.40.463 W122.15.15.336
                          N042.06.46.436 W122.16.41.506 N042.06.35.494 W122.16.19.622
                          N042.06.57.378 W122.17.24.591 N042.07.07.637 W122.17.24.591
                          N042.06.57.378 W122.18.50.761 N042.06.35.494 W122.18.29.561
                          N042.07.07.637 W122.17.24.591 N042.07.29.521 W122.17.57.418
                          N042.07.07.637 W122.18.50.761 N042.06.57.378 W122.18.50.761
                          N042.07.24.050 W121.19.56.415 N042.07.59.612 W121.19.52.312
                          N042.07.29.521 W122.18.18.619 N042.07.07.637 W122.18.50.761
                          N042.07.29.521 W122.17.57.418 N042.07.29.521 W122.18.18.619
                          N042.07.29.521 W122.16.41.506 N042.08.23.549 W122.16.41.506
                          N042.07.29.521 W122.17.57.418 N042.07.51.406 W122.17.24.591
