((NUW-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N048.29.47.193 W122.40.18.062 N048.29.51.692 W122.40.20.122 RVM
                          N048.29.51.692 W122.40.20.122 N048.29.56.371 W122.40.20.819 RVM
                          N048.29.56.371 W122.40.20.819 N048.30.01.050 W122.40.20.124 RVM
                          N048.30.01.050 W122.40.20.124 N048.30.05.550 W122.40.18.065 RVM
                          N048.30.05.550 W122.40.18.065 N048.30.09.697 W122.40.14.721 RVM
                          N048.30.09.697 W122.40.14.721 N048.30.13.331 W122.40.10.220 RVM
                          N048.30.13.331 W122.40.10.220 N048.30.16.314 W122.40.04.735 RVM
                          N048.30.16.314 W122.40.04.735 N048.30.18.531 W122.39.58.477 RVM
                          N048.30.18.531 W122.39.58.477 N048.30.19.896 W122.39.51.686 RVM
                          N048.30.19.896 W122.39.51.686 N048.30.20.357 W122.39.44.624 RVM
                          N048.30.20.357 W122.39.44.624 N048.30.32.349 W122.39.44.624 RVM
                          N048.29.56.371 W122.39.08.429 N048.29.56.369 W122.38.50.332 RVM
                          N048.29.32.389 W122.39.44.624 N048.29.20.397 W122.39.44.624 RVM
                          N048.29.56.371 W122.40.20.819 N048.29.56.369 W122.40.38.916 RVM
    ; WA09
                          N048.37.08.342 W123.08.18.672 N048.37.07.881 W123.08.11.594 RVM
                          N048.37.07.881 W123.08.11.594 N048.37.06.516 W123.08.04.788 RVM
                          N048.37.06.516 W123.08.04.788 N048.37.04.299 W123.07.58.516 RVM
                          N048.37.04.299 W123.07.58.516 N048.37.01.316 W123.07.53.019 RVM
                          N048.37.01.316 W123.07.53.019 N048.36.57.682 W123.07.48.508 RVM
                          N048.36.57.682 W123.07.48.508 N048.36.53.535 W123.07.45.156 RVM
                          N048.36.53.535 W123.07.45.156 N048.36.49.035 W123.07.43.092 RVM
                          N048.36.49.035 W123.07.43.092 N048.36.44.356 W123.07.42.396 RVM
                          N048.36.44.356 W123.07.42.396 N048.36.39.677 W123.07.43.094 RVM
                          N048.36.39.677 W123.07.43.094 N048.36.35.178 W123.07.45.159 RVM
                          N048.36.35.178 W123.07.45.159 N048.36.31.032 W123.07.48.512 RVM
                          N048.36.31.032 W123.07.48.512 N048.36.27.398 W123.07.53.023 RVM
                          N048.36.27.398 W123.07.53.023 N048.36.24.416 W123.07.58.520 RVM
                          N048.36.24.416 W123.07.58.520 N048.36.22.200 W123.08.04.792 RVM
                          N048.36.22.200 W123.08.04.792 N048.36.20.835 W123.08.11.596 RVM
                          N048.36.20.835 W123.08.11.596 N048.36.20.374 W123.08.18.672 RVM
                          N048.36.20.374 W123.08.18.672 N048.36.20.835 W123.08.25.748 RVM
                          N048.36.20.835 W123.08.25.748 N048.36.22.200 W123.08.32.552 RVM
                          N048.36.22.200 W123.08.32.552 N048.36.24.416 W123.08.38.824 RVM
                          N048.36.24.416 W123.08.38.824 N048.36.27.398 W123.08.44.321 RVM
                          N048.36.27.398 W123.08.44.321 N048.36.31.032 W123.08.48.832 RVM
                          N048.36.31.032 W123.08.48.832 N048.36.35.178 W123.08.52.185 RVM
                          N048.36.35.178 W123.08.52.185 N048.36.39.677 W123.08.54.250 RVM
                          N048.36.39.677 W123.08.54.250 N048.36.44.356 W123.08.54.948 RVM
                          N048.36.44.356 W123.08.54.948 N048.36.49.035 W123.08.54.252 RVM
                          N048.36.49.035 W123.08.54.252 N048.36.53.535 W123.08.52.188 RVM
                          N048.36.53.535 W123.08.52.188 N048.36.57.682 W123.08.48.836 RVM
                          N048.36.57.682 W123.08.48.836 N048.37.01.316 W123.08.44.325 RVM
                          N048.37.01.316 W123.08.44.325 N048.37.04.299 W123.08.38.828 RVM
                          N048.37.04.299 W123.08.38.828 N048.37.06.516 W123.08.32.556 RVM
                          N048.37.06.516 W123.08.32.556 N048.37.07.881 W123.08.25.750 RVM
                          N048.37.07.881 W123.08.25.750 N048.37.08.342 W123.08.18.672 RVM
                          N048.37.08.342 W123.08.18.672 N048.37.20.334 W123.08.18.672 RVM
                          N048.36.44.356 W123.07.42.396 N048.36.44.354 W123.07.24.258 RVM
                          N048.36.20.374 W123.08.18.672 N048.36.08.382 W123.08.18.672 RVM
                          N048.36.44.356 W123.08.54.948 N048.36.44.354 W123.09.13.086 RVM
    ; 38WA
                          N048.35.08.354 W122.49.34.647 N048.35.07.893 W122.49.27.574 RVM
                          N048.35.07.893 W122.49.27.574 N048.35.06.528 W122.49.20.772 RVM
                          N048.35.06.528 W122.49.20.772 N048.35.04.311 W122.49.14.504 RVM
                          N048.35.04.311 W122.49.14.504 N048.35.01.328 W122.49.09.011 RVM
