((GEG-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.40.14.979 W116.46.34.747 N047.40.10.479 W116.46.36.774 RVM
                          N047.40.10.479 W116.46.36.774 N047.40.06.333 W116.46.40.066 RVM
                          N047.40.06.333 W116.46.40.066 N047.40.02.699 W116.46.44.496 RVM
                          N047.40.02.699 W116.46.44.496 N047.39.59.717 W116.46.49.893 RVM
                          N047.39.59.717 W116.46.49.893 N047.39.57.501 W116.46.56.050 RVM
                          N047.39.57.501 W116.46.56.050 N047.39.56.136 W116.47.02.731 RVM
                          N047.39.56.136 W116.47.02.731 N047.39.55.675 W116.47.09.679 RVM
                          N047.39.55.675 W116.47.09.679 N047.39.56.136 W116.47.16.627 RVM
                          N047.39.56.136 W116.47.16.627 N047.39.57.501 W116.47.23.308 RVM
                          N047.39.57.501 W116.47.23.308 N047.39.59.717 W116.47.29.465 RVM
                          N047.39.59.717 W116.47.29.465 N047.40.02.699 W116.47.34.862 RVM
                          N047.40.02.699 W116.47.34.862 N047.40.06.333 W116.47.39.292 RVM
                          N047.40.06.333 W116.47.39.292 N047.40.10.479 W116.47.42.584 RVM
                          N047.40.10.479 W116.47.42.584 N047.40.14.979 W116.47.44.611 RVM
                          N047.40.14.979 W116.47.44.611 N047.40.19.657 W116.47.45.296 RVM
                          N047.40.19.657 W116.47.45.296 N047.40.24.337 W116.47.44.613 RVM
                          N047.40.24.337 W116.47.44.613 N047.40.28.836 W116.47.42.587 RVM
                          N047.40.28.836 W116.47.42.587 N047.40.32.983 W116.47.39.296 RVM
                          N047.40.32.983 W116.47.39.296 N047.40.36.617 W116.47.34.867 RVM
                          N047.40.36.617 W116.47.34.867 N047.40.39.600 W116.47.29.469 RVM
                          N047.40.39.600 W116.47.29.469 N047.40.41.817 W116.47.23.311 RVM
                          N047.40.41.817 W116.47.23.311 N047.40.43.182 W116.47.16.628 RVM
                          N047.40.43.182 W116.47.16.628 N047.40.43.643 W116.47.09.679 RVM
                          N047.40.43.643 W116.47.09.679 N047.40.55.635 W116.47.09.679 RVM
                          N047.40.19.657 W116.46.34.062 N047.40.19.656 W116.46.16.253 RVM
                          N047.39.55.675 W116.47.09.679 N047.39.43.683 W116.47.09.679 RVM
                          N047.40.19.657 W116.47.45.296 N047.40.19.656 W116.48.03.105 RVM
    ; 68S
                          N047.39.36.895 W118.10.06.309 N047.39.36.434 W118.09.59.362 RVM
                          N047.39.36.434 W118.09.59.362 N047.39.35.069 W118.09.52.682 RVM
                          N047.39.35.069 W118.09.52.682 N047.39.32.852 W118.09.46.526 RVM
                          N047.39.32.852 W118.09.46.526 N047.39.29.869 W118.09.41.130 RVM
                          N047.39.29.869 W118.09.41.130 N047.39.26.235 W118.09.36.703 RVM
                          N047.39.26.235 W118.09.36.703 N047.39.22.088 W118.09.33.413 RVM
                          N047.39.22.088 W118.09.33.413 N047.39.17.589 W118.09.31.387 RVM
                          N047.39.17.589 W118.09.31.387 N047.39.12.909 W118.09.30.704 RVM
                          N047.39.12.909 W118.09.30.704 N047.39.08.231 W118.09.31.389 RVM
                          N047.39.08.231 W118.09.31.389 N047.39.03.731 W118.09.33.416 RVM
                          N047.39.03.731 W118.09.33.416 N047.38.59.585 W118.09.36.707 RVM
                          N047.38.59.585 W118.09.36.707 N047.38.55.951 W118.09.41.135 RVM
                          N047.38.55.951 W118.09.41.135 N047.38.52.969 W118.09.46.530 RVM
                          N047.38.52.969 W118.09.46.530 N047.38.50.753 W118.09.52.685 RVM
                          N047.38.50.753 W118.09.52.685 N047.38.49.388 W118.09.59.364 RVM
                          N047.38.49.388 W118.09.59.364 N047.38.48.927 W118.10.06.309 RVM
                          N047.38.48.927 W118.10.06.309 N047.38.49.388 W118.10.13.254 RVM
                          N047.38.49.388 W118.10.13.254 N047.38.50.753 W118.10.19.933 RVM
                          N047.38.50.753 W118.10.19.933 N047.38.52.969 W118.10.26.088 RVM
                          N047.38.52.969 W118.10.26.088 N047.38.55.951 W118.10.31.483 RVM
                          N047.38.55.951 W118.10.31.483 N047.38.59.585 W118.10.35.911 RVM
                          N047.38.59.585 W118.10.35.911 N047.39.03.731 W118.10.39.202 RVM
                          N047.39.03.731 W118.10.39.202 N047.39.08.231 W118.10.41.229 RVM
                          N047.39.08.231 W118.10.41.229 N047.39.12.909 W118.10.41.914 RVM
                          N047.39.12.909 W118.10.41.914 N047.39.17.589 W118.10.41.231 RVM
                          N047.39.17.589 W118.10.41.231 N047.39.22.088 W118.10.39.205 RVM
                          N047.39.22.088 W118.10.39.205 N047.39.26.235 W118.10.35.915 RVM
                          N047.39.26.235 W118.10.35.915 N047.39.29.869 W118.10.31.488 RVM
                          N047.39.29.869 W118.10.31.488 N047.39.32.852 W118.10.26.092 RVM
                          N047.39.32.852 W118.10.26.092 N047.39.35.069 W118.10.19.936 RVM
                          N047.39.35.069 W118.10.19.936 N047.39.36.434 W118.10.13.256 RVM
                          N047.39.36.434 W118.10.13.256 N047.39.36.895 W118.10.06.309 RVM
                          N047.39.36.895 W118.10.06.309 N047.39.48.887 W118.10.06.309 RVM
                          N047.39.12.909 W118.09.30.704 N047.39.12.908 W118.09.12.902 RVM
                          N047.38.48.927 W118.10.06.309 N047.38.36.935 W118.10.06.309 RVM
                          N047.39.12.909 W118.10.41.914 N047.39.12.908 W118.10.59.716 RVM
    ; 72S
                          N047.14.35.637 W117.25.16.694 N047.14.35.176 W117.25.09.802 RVM
                          N047.14.35.176 W117.25.09.802 N047.14.33.811 W117.25.03.175 RVM
                          N047.14.33.811 W117.25.03.175 N047.14.31.594 W117.24.57.067 RVM
                          N047.14.31.594 W117.24.57.067 N047.14.28.611 W117.24.51.714 RVM
                          N047.14.28.611 W117.24.51.714 N047.14.24.977 W117.24.47.321 RVM
                          N047.14.24.977 W117.24.47.321 N047.14.20.830 W117.24.44.058 RVM
                          N047.14.20.830 W117.24.44.058 N047.14.16.331 W117.24.42.048 RVM
                          N047.14.16.331 W117.24.42.048 N047.14.11.652 W117.24.41.370 RVM
                          N047.14.11.652 W117.24.41.370 N047.14.06.973 W117.24.42.050 RVM
                          N047.14.06.973 W117.24.42.050 N047.14.02.474 W117.24.44.061 RVM
                          N047.14.02.474 W117.24.44.061 N047.13.58.327 W117.24.47.326 RVM
                          N047.13.58.327 W117.24.47.326 N047.13.54.693 W117.24.51.719 RVM
                          N047.13.54.693 W117.24.51.719 N047.13.51.711 W117.24.57.071 RVM
                          N047.13.51.711 W117.24.57.071 N047.13.49.495 W117.25.03.178 RVM
                          N047.13.49.495 W117.25.03.178 N047.13.48.130 W117.25.09.804 RVM
                          N047.13.48.130 W117.25.09.804 N047.13.47.669 W117.25.16.694 RVM
                          N047.13.47.669 W117.25.16.694 N047.13.48.130 W117.25.23.584 RVM
                          N047.13.48.130 W117.25.23.584 N047.13.49.495 W117.25.30.210 RVM
                          N047.13.49.495 W117.25.30.210 N047.13.51.711 W117.25.36.317 RVM
                          N047.13.51.711 W117.25.36.317 N047.13.54.693 W117.25.41.669 RVM
                          N047.13.54.693 W117.25.41.669 N047.13.58.327 W117.25.46.062 RVM
                          N047.13.58.327 W117.25.46.062 N047.14.02.474 W117.25.49.327 RVM
                          N047.14.02.474 W117.25.49.327 N047.14.06.973 W117.25.51.338 RVM
                          N047.14.06.973 W117.25.51.338 N047.14.11.652 W117.25.52.018 RVM
                          N047.14.11.652 W117.25.52.018 N047.14.16.331 W117.25.51.340 RVM
                          N047.14.16.331 W117.25.51.340 N047.14.20.830 W117.25.49.330 RVM
                          N047.14.20.830 W117.25.49.330 N047.14.24.977 W117.25.46.067 RVM
                          N047.14.24.977 W117.25.46.067 N047.14.28.611 W117.25.41.674 RVM
                          N047.14.28.611 W117.25.41.674 N047.14.31.594 W117.25.36.321 RVM
                          N047.14.31.594 W117.25.36.321 N047.14.33.811 W117.25.30.213 RVM
                          N047.14.33.811 W117.25.30.213 N047.14.35.176 W117.25.23.586 RVM
                          N047.14.35.176 W117.25.23.586 N047.14.35.637 W117.25.16.694 RVM
                          N047.14.35.637 W117.25.16.694 N047.14.47.629 W117.25.16.694 RVM
                          N047.14.11.652 W117.24.41.370 N047.14.11.650 W117.24.23.709 RVM
                          N047.13.47.669 W117.25.16.694 N047.13.35.677 W117.25.16.694 RVM
                          N047.14.11.652 W117.25.52.018 N047.14.11.650 W117.26.09.679 RVM
    ; C72
                          N047.59.23.597 W117.32.33.820 N047.59.23.136 W117.32.26.829 RVM
                          N047.59.23.136 W117.32.26.829 N047.59.21.771 W117.32.20.106 RVM
                          N047.59.21.771 W117.32.20.106 N047.59.19.554 W117.32.13.911 RVM
                          N047.59.19.554 W117.32.13.911 N047.59.16.571 W117.32.08.481 RVM
                          N047.59.16.571 W117.32.08.481 N047.59.12.937 W117.32.04.025 RVM
                          N047.59.12.937 W117.32.04.025 N047.59.08.790 W117.32.00.714 RVM
                          N047.59.08.790 W117.32.00.714 N047.59.04.291 W117.31.58.676 RVM
                          N047.59.04.291 W117.31.58.676 N047.58.59.611 W117.31.57.988 RVM
                          N047.58.59.611 W117.31.57.988 N047.58.54.932 W117.31.58.678 RVM
                          N047.58.54.932 W117.31.58.678 N047.58.50.433 W117.32.00.718 RVM
                          N047.58.50.433 W117.32.00.718 N047.58.46.287 W117.32.04.029 RVM
                          N047.58.46.287 W117.32.04.029 N047.58.42.653 W117.32.08.486 RVM
                          N047.58.42.653 W117.32.08.486 N047.58.39.671 W117.32.13.915 RVM
                          N047.58.39.671 W117.32.13.915 N047.58.37.455 W117.32.20.109 RVM
                          N047.58.37.455 W117.32.20.109 N047.58.36.090 W117.32.26.830 RVM
                          N047.58.36.090 W117.32.26.830 N047.58.35.629 W117.32.33.820 RVM
                          N047.58.35.629 W117.32.33.820 N047.58.36.090 W117.32.40.810 RVM
                          N047.58.36.090 W117.32.40.810 N047.58.37.455 W117.32.47.531 RVM
                          N047.58.37.455 W117.32.47.531 N047.58.39.671 W117.32.53.725 RVM
                          N047.58.39.671 W117.32.53.725 N047.58.42.653 W117.32.59.154 RVM
                          N047.58.42.653 W117.32.59.154 N047.58.46.287 W117.33.03.611 RVM
                          N047.58.46.287 W117.33.03.611 N047.58.50.433 W117.33.06.922 RVM
                          N047.58.50.433 W117.33.06.922 N047.58.54.932 W117.33.08.962 RVM
                          N047.58.54.932 W117.33.08.962 N047.58.59.611 W117.33.09.652 RVM
                          N047.58.59.611 W117.33.09.652 N047.59.04.291 W117.33.08.964 RVM
                          N047.59.04.291 W117.33.08.964 N047.59.08.790 W117.33.06.926 RVM
                          N047.59.08.790 W117.33.06.926 N047.59.12.937 W117.33.03.615 RVM
                          N047.59.12.937 W117.33.03.615 N047.59.16.571 W117.32.59.159 RVM
                          N047.59.16.571 W117.32.59.159 N047.59.19.554 W117.32.53.729 RVM
                          N047.59.19.554 W117.32.53.729 N047.59.21.771 W117.32.47.534 RVM
                          N047.59.21.771 W117.32.47.534 N047.59.23.136 W117.32.40.811 RVM
                          N047.59.23.136 W117.32.40.811 N047.59.23.597 W117.32.33.820 RVM
                          N047.59.23.597 W117.32.33.820 N047.59.35.589 W117.32.33.820 RVM
                          N047.58.59.611 W117.31.57.988 N047.58.59.610 W117.31.40.073 RVM
                          N047.58.35.629 W117.32.33.820 N047.58.23.637 W117.32.33.820 RVM
                          N047.58.59.611 W117.33.09.652 N047.58.59.610 W117.33.27.567 RVM
    ; 70S
                          N047.47.37.856 W117.21.29.458 N047.47.37.395 W117.21.22.493 RVM
                          N047.47.37.395 W117.21.22.493 N047.47.36.030 W117.21.15.796 RVM
                          N047.47.36.030 W117.21.15.796 N047.47.33.813 W117.21.09.624 RVM
                          N047.47.33.813 W117.21.09.624 N047.47.30.830 W117.21.04.215 RVM
                          N047.47.30.830 W117.21.04.215 N047.47.27.196 W117.20.59.776 RVM
                          N047.47.27.196 W117.20.59.776 N047.47.23.049 W117.20.56.477 RVM
                          N047.47.23.049 W117.20.56.477 N047.47.18.550 W117.20.54.447 RVM
                          N047.47.18.550 W117.20.54.447 N047.47.13.870 W117.20.53.762 RVM
                          N047.47.13.870 W117.20.53.762 N047.47.09.192 W117.20.54.449 RVM
                          N047.47.09.192 W117.20.54.449 N047.47.04.692 W117.20.56.481 RVM
                          N047.47.04.692 W117.20.56.481 N047.47.00.546 W117.20.59.780 RVM
                          N047.47.00.546 W117.20.59.780 N047.46.56.912 W117.21.04.219 RVM
                          N047.46.56.912 W117.21.04.219 N047.46.53.930 W117.21.09.628 RVM
                          N047.46.53.930 W117.21.09.628 N047.46.51.714 W117.21.15.799 RVM
                          N047.46.51.714 W117.21.15.799 N047.46.50.349 W117.21.22.495 RVM
                          N047.46.50.349 W117.21.22.495 N047.46.49.888 W117.21.29.458 RVM
                          N047.46.49.888 W117.21.29.458 N047.46.50.349 W117.21.36.421 RVM
                          N047.46.50.349 W117.21.36.421 N047.46.51.714 W117.21.43.117 RVM
                          N047.46.51.714 W117.21.43.117 N047.46.53.930 W117.21.49.288 RVM
                          N047.46.53.930 W117.21.49.288 N047.46.56.912 W117.21.54.697 RVM
                          N047.46.56.912 W117.21.54.697 N047.47.00.546 W117.21.59.136 RVM
                          N047.47.00.546 W117.21.59.136 N047.47.04.692 W117.22.02.435 RVM
                          N047.47.04.692 W117.22.02.435 N047.47.09.192 W117.22.04.467 RVM
                          N047.47.09.192 W117.22.04.467 N047.47.13.870 W117.22.05.154 RVM
                          N047.47.13.870 W117.22.05.154 N047.47.18.550 W117.22.04.469 RVM
                          N047.47.18.550 W117.22.04.469 N047.47.23.049 W117.22.02.439 RVM
                          N047.47.23.049 W117.22.02.439 N047.47.27.196 W117.21.59.140 RVM
                          N047.47.27.196 W117.21.59.140 N047.47.30.830 W117.21.54.701 RVM
                          N047.47.30.830 W117.21.54.701 N047.47.33.813 W117.21.49.292 RVM
                          N047.47.33.813 W117.21.49.292 N047.47.36.030 W117.21.43.120 RVM
                          N047.47.36.030 W117.21.43.120 N047.47.37.395 W117.21.36.423 RVM
                          N047.47.37.395 W117.21.36.423 N047.47.37.856 W117.21.29.458 RVM
                          N047.47.37.856 W117.21.29.458 N047.47.49.848 W117.21.29.458 RVM
                          N047.47.13.870 W117.20.53.762 N047.47.13.869 W117.20.35.914 RVM
                          N047.46.49.888 W117.21.29.458 N047.46.37.896 W117.21.29.458 RVM
                          N047.47.13.870 W117.22.05.154 N047.47.13.869 W117.22.23.002 RVM
    ; KDEW
                          N047.58.23.884 W117.25.36.000 N047.58.23.423 W117.25.29.011 RVM
                          N047.58.23.423 W117.25.29.011 N047.58.22.058 W117.25.22.291 RVM
                          N047.58.22.058 W117.25.22.291 N047.58.19.841 W117.25.16.097 RVM
                          N047.58.19.841 W117.25.16.097 N047.58.16.858 W117.25.10.669 RVM
                          N047.58.16.858 W117.25.10.669 N047.58.13.224 W117.25.06.215 RVM
                          N047.58.13.224 W117.25.06.215 N047.58.09.077 W117.25.02.905 RVM
                          N047.58.09.077 W117.25.02.905 N047.58.04.578 W117.25.00.867 RVM
                          N047.58.04.578 W117.25.00.867 N047.57.59.898 W117.25.00.180 RVM
                          N047.57.59.898 W117.25.00.180 N047.57.55.220 W117.25.00.869 RVM
                          N047.57.55.220 W117.25.00.869 N047.57.50.720 W117.25.02.908 RVM
                          N047.57.50.720 W117.25.02.908 N047.57.46.574 W117.25.06.219 RVM
                          N047.57.46.574 W117.25.06.219 N047.57.42.940 W117.25.10.674 RVM
                          N047.57.42.940 W117.25.10.674 N047.57.39.958 W117.25.16.102 RVM
                          N047.57.39.958 W117.25.16.102 N047.57.37.742 W117.25.22.294 RVM
                          N047.57.37.742 W117.25.22.294 N047.57.36.377 W117.25.29.013 RVM
                          N047.57.36.377 W117.25.29.013 N047.57.35.916 W117.25.36.000 RVM
                          N047.57.35.916 W117.25.36.000 N047.57.36.377 W117.25.42.987 RVM
                          N047.57.36.377 W117.25.42.987 N047.57.37.742 W117.25.49.706 RVM
                          N047.57.37.742 W117.25.49.706 N047.57.39.958 W117.25.55.898 RVM
                          N047.57.39.958 W117.25.55.898 N047.57.42.940 W117.26.01.326 RVM
                          N047.57.42.940 W117.26.01.326 N047.57.46.574 W117.26.05.781 RVM
                          N047.57.46.574 W117.26.05.781 N047.57.50.720 W117.26.09.092 RVM
                          N047.57.50.720 W117.26.09.092 N047.57.55.220 W117.26.11.131 RVM
                          N047.57.55.220 W117.26.11.131 N047.57.59.898 W117.26.11.820 RVM
                          N047.57.59.898 W117.26.11.820 N047.58.04.578 W117.26.11.133 RVM
                          N047.58.04.578 W117.26.11.133 N047.58.09.077 W117.26.09.095 RVM
                          N047.58.09.077 W117.26.09.095 N047.58.13.224 W117.26.05.785 RVM
                          N047.58.13.224 W117.26.05.785 N047.58.16.858 W117.26.01.331 RVM
                          N047.58.16.858 W117.26.01.331 N047.58.19.841 W117.25.55.903 RVM
                          N047.58.19.841 W117.25.55.903 N047.58.22.058 W117.25.49.709 RVM
                          N047.58.22.058 W117.25.49.709 N047.58.23.423 W117.25.42.989 RVM
                          N047.58.23.423 W117.25.42.989 N047.58.23.884 W117.25.36.000 RVM
                          N047.58.23.884 W117.25.36.000 N047.58.35.876 W117.25.36.000 RVM
                          N047.57.59.898 W117.25.00.180 N047.57.59.897 W117.24.42.270 RVM
                          N047.57.35.916 W117.25.36.000 N047.57.23.924 W117.25.36.000 RVM
                          N047.57.59.898 W117.26.11.820 N047.57.59.897 W117.26.29.730 RVM
                          N047.36.50.128 W117.32.39.470 N047.37.52.381 W117.31.05.757 RVM
                          N047.37.52.381 W117.31.05.757 N047.36.50.128 W117.32.39.470 RVM
                          N047.37.01.069 W117.33.11.764 N047.37.00.364 W117.31.12.105 RVM
                          N047.37.00.364 W117.31.12.105 N047.37.01.069 W117.33.11.764 RVM
                          N047.36.27.090 W117.40.54.050 N047.37.21.310 W117.37.47.700 RVM
                          N047.37.21.310 W117.37.47.700 N047.36.27.090 W117.40.54.050 RVM
                          N047.45.59.765 W116.49.15.116 N047.46.44.781 W116.48.32.815 RVM
                          N047.46.44.781 W116.48.32.815 N047.45.59.765 W116.49.15.116 RVM
                          N047.46.18.874 W116.50.13.498 N047.46.43.776 W116.48.31.663 RVM
                          N047.46.43.776 W116.48.31.663 N047.46.18.874 W116.50.13.498 RVM
                          N047.40.45.126 W117.19.52.979 N047.41.11.107 W117.18.59.655 RVM
                          N047.41.11.107 W117.18.59.655 N047.40.45.126 W117.19.52.979 RVM
                          N047.40.49.359 W117.19.31.825 N047.41.07.012 W117.18.55.565 RVM
                          N047.41.07.012 W117.18.55.565 N047.40.49.359 W117.19.31.825 RVM
    ; KGEG 03 centerline
                          N047.36.08.042 W117.33.42.815 N047.35.25.946 W117.34.46.131 RVM
                          N047.34.43.840 W117.35.49.419 N047.34.01.724 W117.36.52.678 RVM
                          N047.33.19.599 W117.37.55.909 N047.32.37.464 W117.38.59.113 RVM
                          N047.31.55.319 W117.40.02.287 N047.31.13.165 W117.41.05.434 RVM
                          N047.30.31.001 W117.42.08.553 N047.29.48.828 W117.43.11.643 RVM
                          N047.29.06.645 W117.44.14.705 N047.28.24.452 W117.45.17.739 RVM
                          N047.27.42.250 W117.46.20.745 N047.27.00.038 W117.47.23.723 RVM
    ; KGEG 03 center cross at CARUT
                          N047.32.59.045 W117.37.13.415 N047.33.48.590 W117.38.25.748 RVM
    ; KGEG 03 center cross at JEGDU
                          N047.26.17.062 W117.47.14.781 N047.27.06.608 W117.48.26.961 RVM
    ; KGEG 21 centerline
                          N047.38.34.473 W117.30.02.385 N047.39.16.554 W117.28.58.983 RVM
                          N047.39.58.626 W117.27.55.554 N047.40.40.688 W117.26.52.096 RVM
                          N047.41.22.740 W117.25.48.610 N047.42.04.783 W117.24.45.095 RVM
                          N047.42.46.816 W117.23.41.551 N047.43.28.839 W117.22.37.980 RVM
                          N047.44.10.852 W117.21.34.379 N047.44.52.856 W117.20.30.751 RVM
                          N047.45.34.850 W117.19.27.093 N047.45.38.421 W117.19.21.678 RVM
    ; KGEG 21 center cross at LUCEV
                          N047.46.03.184 W117.19.58.003 N047.45.13.655 W117.18.45.362 RVM
    ; KGEG 21 center cross at SIGYO
                          N047.41.38.263 W117.26.38.836 N047.40.48.735 W117.25.26.298 RVM
    ; GEG VORTAC final approach course 028 from 1.0 to 10.0
                          N047.32.35.109 W117.39.50.862 N047.31.55.745 W117.40.57.857 RVM
                          N047.31.16.370 W117.42.04.823 N047.30.36.985 W117.43.11.762 RVM
                          N047.29.57.588 W117.44.18.673 N047.29.18.181 W117.45.25.556 RVM
                          N047.28.38.762 W117.46.32.411 N047.27.59.333 W117.47.39.238 RVM
    ; GEG VORTAC final approach Full cross at 10.0
                          N047.26.53.646 W117.48.12.299 N047.27.46.139 W117.49.19.784 RVM
    ; GEG VORTAC DME Arc Left cross at 10.0
                          N047.23.59.981 W117.34.56.037 N047.24.20.328 W117.33.17.771 RVM
                          N047.24.49.006 W117.33.30.684 N047.23.51.650 W117.33.04.861 RVM
    ; GEG VORTAC DME Arc Right cross at 10.0
                          N047.31.20.547 W117.52.02.028 N047.32.29.423 W117.52.16.362 RVM
                          N047.32.33.687 W117.51.32.402 N047.32.25.155 W117.53.00.320 RVM
    ; KSKA 23 centerline
                          N047.37.45.081 W117.36.26.025 N047.38.08.836 W117.35.04.330 RVM
                          N047.38.32.575 W117.33.42.614 N047.38.56.298 W117.32.20.878 RVM
                          N047.39.20.005 W117.30.59.121 N047.39.43.695 W117.29.37.343 RVM
                          N047.40.07.370 W117.28.15.545 N047.40.31.028 W117.26.53.726 RVM
                          N047.40.54.670 W117.25.31.886 N047.41.18.296 W117.24.10.026 RVM
                          N047.41.41.906 W117.22.48.146 N047.42.05.499 W117.21.26.244 RVM
    ; KSKA 23 center cross at HAFRD
                          N047.39.17.327 W117.33.18.903 N047.38.13.477 W117.32.37.960 RVM
    ; KSKA 23 center cross at MEDNE
                          N047.42.48.752 W117.21.07.391 N047.41.44.902 W117.20.26.401 RVM
    ; KSKA 05 centerline
                          N047.36.03.339 W117.42.15.704 N047.35.39.573 W117.43.37.337 RVM
                          N047.35.15.790 W117.44.58.950 N047.34.51.991 W117.46.20.542 RVM
                          N047.34.28.176 W117.47.42.114 N047.34.04.346 W117.49.03.665 RVM
                          N047.33.40.499 W117.50.25.195 N047.33.16.636 W117.51.46.705 RVM
                          N047.32.52.757 W117.53.08.194 N047.32.28.861 W117.54.29.662 RVM
                          N047.32.04.950 W117.55.51.110 N047.31.41.023 W117.57.12.537 RVM
                          N047.31.17.080 W117.58.33.944 N047.31.13.004 W117.58.47.796 RVM
    ; KSKA 05 center cross at PAIGE
                          N047.34.05.179 W117.46.51.101 N047.35.09.047 W117.47.31.927 RVM
    ; KSKA 05 center cross at CATET
                          N047.30.41.069 W117.58.27.408 N047.31.44.937 W117.59.08.190 RVM
    ; SKA TACAN final approach course 057 from 1.0 to WUGUX
                          N047.36.09.348 W117.42.36.938 N047.35.54.798 W117.44.03.201 RVM
                          N047.35.40.229 W117.45.29.452 N047.35.25.643 W117.46.55.689 RVM
                          N047.35.11.039 W117.48.21.913 N047.34.56.416 W117.49.48.123 RVM
                          N047.34.41.776 W117.51.14.320 N047.34.27.118 W117.52.40.503 RVM
                          N047.34.12.442 W117.54.06.674 N047.33.57.748 W117.55.32.830 RVM
                          N047.33.43.036 W117.56.58.974 N047.33.28.306 W117.58.25.104 RVM
    ; SKA TACAN final approach Full cross at JESCA
                          N047.34.51.184 W117.46.47.439 N047.35.58.671 W117.47.12.389 RVM
    ; SKA TACAN final approach Full cross at WUGUX
                          N047.32.40.522 W117.59.34.628 N047.33.48.009 W117.59.59.559 RVM
    ; SKA TACAN final approach course 226 from 1.0 to ROSAE
                          N047.37.29.044 W117.37.03.115 N047.37.54.344 W117.35.42.454 RVM
                          N047.38.19.629 W117.34.21.772 N047.38.44.899 W117.33.01.069 RVM
                          N047.39.10.152 W117.31.40.343 N047.39.35.390 W117.30.19.596 RVM
                          N047.40.00.612 W117.28.58.828 N047.40.25.819 W117.27.38.037 RVM
                          N047.40.51.009 W117.26.17.225 N047.41.16.184 W117.24.56.391 RVM
                          N047.41.41.343 W117.23.35.536 N047.42.06.486 W117.22.14.659 RVM
    ; SKA TACAN final approach Full cross at WINGI
                          N047.39.16.146 W117.33.23.751 N047.38.13.110 W117.32.40.120 RVM
    ; SKA TACAN final approach Full cross at ERUBE
                          N047.41.21.879 W117.26.41.137 N047.40.18.843 W117.25.57.477 RVM
    ; SKA TACAN final approach Full cross at ROSAE
                          N047.43.02.278 W117.21.18.356 N047.41.59.241 W117.20.34.673 RVM
    ; KSFF 22R centerline
                          N047.41.46.259 W117.17.47.493 N047.42.21.399 W117.16.35.303 RVM
                          N047.42.56.526 W117.15.23.086 N047.43.31.640 W117.14.10.843 RVM
                          N047.44.06.742 W117.12.58.572 N047.44.41.831 W117.11.46.274 RVM
                          N047.45.16.908 W117.10.33.949 N047.45.51.972 W117.09.21.598 RVM
                          N047.46.27.023 W117.08.09.219 N047.47.02.061 W117.06.56.812 RVM
                          N047.47.37.087 W117.05.44.379 N047.48.12.101 W117.04.31.919 RVM
    ; KSFF 22R center cross at HANSN
                          N047.45.10.461 W117.12.15.655 N047.44.14.120 W117.11.15.004 RVM
    ; KSFF 22R center cross at AZTEM
                          N047.50.25.009 W117.01.25.224 N047.49.28.668 W117.00.24.470 RVM
    ; GEG VORTAC final approach course 039 from -12.8 to -1.0
                          N047.39.46.568 W117.22.27.002 N047.39.16.751 W117.23.44.235 RVM
                          N047.38.46.919 W117.25.01.444 N047.38.17.072 W117.26.18.627 RVM
                          N047.37.47.211 W117.27.35.787 N047.37.17.336 W117.28.52.922 RVM
                          N047.36.47.447 W117.30.10.032 N047.36.17.543 W117.31.27.118 RVM
                          N047.35.47.625 W117.32.44.179 N047.35.17.692 W117.34.01.216 RVM
                          N047.34.47.745 W117.35.18.228 N047.34.23.778 W117.36.19.821 RVM
    ; GEG VORTAC final approach Full cross at LOWAL
                          N047.38.08.922 W117.28.23.302 N047.37.08.687 W117.27.31.701 RVM
    ; KCOE 06 centerline
                          N047.45.58.374 W116.51.37.332 N047.45.37.856 W116.53.01.146 RVM
                          N047.45.17.322 W116.54.24.943 N047.44.56.771 W116.55.48.721 RVM
                          N047.44.36.202 W116.57.12.481 N047.44.15.617 W116.58.36.222 RVM
                          N047.43.55.015 W116.59.59.945 N047.43.34.396 W117.01.23.649 RVM
                          N047.43.13.761 W117.02.47.336 N047.42.53.108 W117.04.11.003 RVM
                          N047.42.32.438 W117.05.34.653 N047.42.11.752 W117.06.58.283 RVM
                          N047.41.51.048 W117.08.21.896 N047.41.39.299 W117.09.09.307 RVM
    ; KCOE 06 center cross at POBIY
                          N047.41.06.616 W117.08.51.652 N047.42.11.981 W117.09.26.968 RVM
    ; KCOE 06 center cross at CIPUT
                          N047.43.29.405 W116.59.13.543 N047.44.34.770 W116.59.48.886 RVM
    ; COE VORDME final approach course 344 from 1.0 to HIPRR
                          N047.44.25.557 W116.49.23.436 N047.43.25.680 W116.49.28.097 RVM
                          N047.42.25.802 W116.49.32.756 N047.41.25.925 W116.49.37.412 RVM
                          N047.40.26.047 W116.49.42.065 N047.39.26.169 W116.49.46.715 RVM
                          N047.38.26.292 W116.49.51.362 N047.37.26.414 W116.49.56.006 RVM
                          N047.36.26.536 W116.50.00.647 N047.35.26.658 W116.50.05.285 RVM
                          N047.34.26.780 W116.50.09.920 N047.33.26.902 W116.50.14.553 RVM
                          N047.32.27.024 W116.50.19.182 N047.31.34.189 W116.50.23.264 RVM
    ; COE VORDME final approach Full cross at LARN
                          N047.40.24.139 W116.48.50.496 N047.40.27.779 W116.50.33.648 RVM
    ; COE VORDME final approach Full cross at LEYIB
                          N047.35.36.759 W116.49.12.865 N047.35.40.399 W116.50.55.860 RVM
