((GEG-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N046.40.37.896 W117.26.04.597 N046.40.33.749 W117.26.01.367 RVM
                          N046.40.33.749 W117.26.01.367 N046.40.29.250 W117.25.59.379 RVM
                          N046.40.29.250 W117.25.59.379 N046.40.24.571 W117.25.58.708 RVM
                          N046.40.24.571 W117.25.58.708 N046.40.19.892 W117.25.59.381 RVM
                          N046.40.19.892 W117.25.59.381 N046.40.15.393 W117.26.01.370 RVM
                          N046.40.15.393 W117.26.01.370 N046.40.11.246 W117.26.04.601 RVM
                          N046.40.11.246 W117.26.04.601 N046.40.07.612 W117.26.08.948 RVM
                          N046.40.07.612 W117.26.08.948 N046.40.04.630 W117.26.14.245 RVM
                          N046.40.04.630 W117.26.14.245 N046.40.02.414 W117.26.20.287 RVM
                          N046.40.02.414 W117.26.20.287 N046.40.01.049 W117.26.26.844 RVM
                          N046.40.01.049 W117.26.26.844 N046.40.00.588 W117.26.33.662 RVM
                          N046.40.00.588 W117.26.33.662 N046.40.01.049 W117.26.40.480 RVM
                          N046.40.01.049 W117.26.40.480 N046.40.02.414 W117.26.47.037 RVM
                          N046.40.02.414 W117.26.47.037 N046.40.04.630 W117.26.53.079 RVM
                          N046.40.04.630 W117.26.53.079 N046.40.07.612 W117.26.58.376 RVM
                          N046.40.07.612 W117.26.58.376 N046.40.11.246 W117.27.02.723 RVM
                          N046.40.11.246 W117.27.02.723 N046.40.15.393 W117.27.05.954 RVM
                          N046.40.15.393 W117.27.05.954 N046.40.19.892 W117.27.07.943 RVM
                          N046.40.19.892 W117.27.07.943 N046.40.24.571 W117.27.08.616 RVM
                          N046.40.24.571 W117.27.08.616 N046.40.29.250 W117.27.07.945 RVM
                          N046.40.29.250 W117.27.07.945 N046.40.33.749 W117.27.05.957 RVM
                          N046.40.33.749 W117.27.05.957 N046.40.37.896 W117.27.02.727 RVM
                          N046.40.37.896 W117.27.02.727 N046.40.41.530 W117.26.58.380 RVM
                          N046.40.41.530 W117.26.58.380 N046.40.44.513 W117.26.53.083 RVM
                          N046.40.44.513 W117.26.53.083 N046.40.46.730 W117.26.47.040 RVM
                          N046.40.46.730 W117.26.47.040 N046.40.48.095 W117.26.40.482 RVM
                          N046.40.48.095 W117.26.40.482 N046.40.48.556 W117.26.33.662 RVM
                          N046.40.48.556 W117.26.33.662 N046.41.00.548 W117.26.33.662 RVM
                          N046.40.24.571 W117.25.58.708 N046.40.24.569 W117.25.41.231 RVM
                          N046.40.00.588 W117.26.33.662 N046.39.48.596 W117.26.33.662 RVM
                          N046.40.24.571 W117.27.08.616 N046.40.24.569 W117.27.26.093 RVM
    ; KPUW
                          N046.45.01.884 W117.06.34.500 N046.45.01.423 W117.06.27.671 RVM
                          N046.45.01.423 W117.06.27.671 N046.45.00.058 W117.06.21.105 RVM
                          N046.45.00.058 W117.06.21.105 N046.44.57.841 W117.06.15.053 RVM
                          N046.44.57.841 W117.06.15.053 N046.44.54.858 W117.06.09.749 RVM
                          N046.44.54.858 W117.06.09.749 N046.44.51.224 W117.06.05.397 RVM
                          N046.44.51.224 W117.06.05.397 N046.44.47.077 W117.06.02.163 RVM
                          N046.44.47.077 W117.06.02.163 N046.44.42.578 W117.06.00.172 RVM
                          N046.44.42.578 W117.06.00.172 N046.44.37.899 W117.05.59.500 RVM
                          N046.44.37.899 W117.05.59.500 N046.44.33.220 W117.06.00.174 RVM
                          N046.44.33.220 W117.06.00.174 N046.44.28.721 W117.06.02.166 RVM
                          N046.44.28.721 W117.06.02.166 N046.44.24.574 W117.06.05.401 RVM
                          N046.44.24.574 W117.06.05.401 N046.44.20.940 W117.06.09.754 RVM
                          N046.44.20.940 W117.06.09.754 N046.44.17.958 W117.06.15.057 RVM
                          N046.44.17.958 W117.06.15.057 N046.44.15.742 W117.06.21.108 RVM
                          N046.44.15.742 W117.06.21.108 N046.44.14.377 W117.06.27.673 RVM
                          N046.44.14.377 W117.06.27.673 N046.44.13.916 W117.06.34.500 RVM
                          N046.44.13.916 W117.06.34.500 N046.44.14.377 W117.06.41.327 RVM
                          N046.44.14.377 W117.06.41.327 N046.44.15.742 W117.06.47.892 RVM
                          N046.44.15.742 W117.06.47.892 N046.44.17.958 W117.06.53.943 RVM
                          N046.44.17.958 W117.06.53.943 N046.44.20.940 W117.06.59.246 RVM
                          N046.44.20.940 W117.06.59.246 N046.44.24.574 W117.07.03.599 RVM
                          N046.44.24.574 W117.07.03.599 N046.44.28.721 W117.07.06.834 RVM
                          N046.44.28.721 W117.07.06.834 N046.44.33.220 W117.07.08.826 RVM
                          N046.44.33.220 W117.07.08.826 N046.44.37.899 W117.07.09.499 RVM
                          N046.44.37.899 W117.07.09.499 N046.44.42.578 W117.07.08.828 RVM
                          N046.44.42.578 W117.07.08.828 N046.44.47.077 W117.07.06.837 RVM
                          N046.44.47.077 W117.07.06.837 N046.44.51.224 W117.07.03.603 RVM
                          N046.44.51.224 W117.07.03.603 N046.44.54.858 W117.06.59.251 RVM
                          N046.44.54.858 W117.06.59.251 N046.44.57.841 W117.06.53.947 RVM
                          N046.44.57.841 W117.06.53.947 N046.45.00.058 W117.06.47.895 RVM
                          N046.45.00.058 W117.06.47.895 N046.45.01.423 W117.06.41.329 RVM
                          N046.45.01.423 W117.06.41.329 N046.45.01.884 W117.06.34.500 RVM
                          N046.45.01.884 W117.06.34.500 N046.45.13.876 W117.06.34.500 RVM
                          N046.44.37.899 W117.05.59.500 N046.44.37.897 W117.05.42.001 RVM
                          N046.44.13.916 W117.06.34.500 N046.44.01.924 W117.06.34.500 RVM
                          N046.44.37.899 W117.07.09.499 N046.44.37.897 W117.07.26.999 RVM
    ; S83
                          N047.33.15.700 W116.11.18.603 N047.33.15.239 W116.11.11.670 RVM
                          N047.33.15.239 W116.11.11.670 N047.33.13.874 W116.11.05.004 RVM
                          N047.33.13.874 W116.11.05.004 N047.33.11.657 W116.10.58.860 RVM
                          N047.33.11.657 W116.10.58.860 N047.33.08.674 W116.10.53.475 RVM
                          N047.33.08.674 W116.10.53.475 N047.33.05.040 W116.10.49.056 RVM
                          N047.33.05.040 W116.10.49.056 N047.33.00.893 W116.10.45.773 RVM
                          N047.33.00.893 W116.10.45.773 N047.32.56.394 W116.10.43.752 RVM
                          N047.32.56.394 W116.10.43.752 N047.32.51.714 W116.10.43.070 RVM
                          N047.32.51.714 W116.10.43.070 N047.32.47.036 W116.10.43.754 RVM
                          N047.32.47.036 W116.10.43.754 N047.32.42.536 W116.10.45.777 RVM
                          N047.32.42.536 W116.10.45.777 N047.32.38.390 W116.10.49.061 RVM
