((EUG-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N044.16.39.387 W123.03.57.930 N044.16.41.604 W123.03.52.138 RVM 
                          N044.16.41.604 W123.03.52.138 N044.16.42.969 W123.03.45.854 RVM 
                          N044.16.42.969 W123.03.45.854 N044.16.43.430 W123.03.39.319 RVM 
                          N044.16.43.430 W123.03.39.319 N044.16.55.422 W123.03.39.319 RVM 
                          N044.16.19.445 W123.03.05.824 N044.16.19.443 W123.02.49.076 RVM 
                          N044.15.55.462 W123.03.39.319 N044.15.43.470 W123.03.39.319 RVM 
                          N044.16.19.445 W123.04.12.814 N044.16.19.443 W123.04.29.562 RVM 
    ; 77S                                                      
                          N043.56.14.744 W123.00.26.202 N043.56.14.283 W123.00.19.704 RVM 
                          N043.56.14.283 W123.00.19.704 N043.56.12.918 W123.00.13.456 RVM 
                          N043.56.12.918 W123.00.13.456 N043.56.10.701 W123.00.07.698 RVM 
                          N043.56.10.701 W123.00.07.698 N043.56.07.718 W123.00.02.651 RVM 
                          N043.56.07.718 W123.00.02.651 N043.56.04.084 W122.59.58.510 RVM 
                          N043.56.04.084 W122.59.58.510 N043.55.59.937 W122.59.55.433 RVM 
                          N043.55.59.937 W122.59.55.433 N043.55.55.438 W122.59.53.538 RVM 
                          N043.55.55.438 W122.59.53.538 N043.55.50.759 W122.59.52.899 RVM 
                          N043.55.50.759 W122.59.52.899 N043.55.46.080 W122.59.53.540 RVM 
                          N043.55.46.080 W122.59.53.540 N043.55.41.581 W122.59.55.435 RVM 
                          N043.55.41.581 W122.59.55.435 N043.55.37.434 W122.59.58.513 RVM 
                          N043.55.37.434 W122.59.58.513 N043.55.33.800 W123.00.02.655 RVM 
                          N043.55.33.800 W123.00.02.655 N043.55.30.818 W123.00.07.702 RVM 
                          N043.55.30.818 W123.00.07.702 N043.55.28.602 W123.00.13.459 RVM 
                          N043.55.28.602 W123.00.13.459 N043.55.27.237 W123.00.19.705 RVM 
                          N043.55.27.237 W123.00.19.705 N043.55.26.776 W123.00.26.202 RVM 
                          N043.55.26.776 W123.00.26.202 N043.55.27.237 W123.00.32.698 RVM 
                          N043.55.27.237 W123.00.32.698 N043.55.28.602 W123.00.38.945 RVM 
                          N043.55.28.602 W123.00.38.945 N043.55.30.818 W123.00.44.702 RVM 
                          N043.55.30.818 W123.00.44.702 N043.55.33.800 W123.00.49.748 RVM 
                          N043.55.33.800 W123.00.49.748 N043.55.37.434 W123.00.53.890 RVM 
                          N043.55.37.434 W123.00.53.890 N043.55.41.581 W123.00.56.968 RVM 
                          N043.55.41.581 W123.00.56.968 N043.55.46.080 W123.00.58.864 RVM 
                          N043.55.46.080 W123.00.58.864 N043.55.50.759 W123.00.59.504 RVM 
                          N043.55.50.759 W123.00.59.504 N043.55.55.438 W123.00.58.865 RVM 
                          N043.55.55.438 W123.00.58.865 N043.55.59.937 W123.00.56.971 RVM 
