Map 2- ILS Finals         N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N040.46.55.073 W123.58.31.140 N040.46.01.689 W123.57.55.090 
                          N040.45.08.302 W123.57.19.056 N040.44.14.911 W123.56.43.038 
                          N040.43.21.518 W123.56.07.037 N040.42.28.122 W123.55.31.051 
                          N040.41.34.722 W123.54.55.081 N040.40.41.320 W123.54.19.128 
                          N040.53.22.353 W124.02.08.625 N040.53.18.459 W124.02.10.568 
                          N040.53.18.459 W124.02.10.568 N040.53.14.727 W124.02.13.007 
                          N040.53.14.727 W124.02.13.007 N040.53.11.195 W124.02.15.917 
                          N040.53.11.195 W124.02.15.917 N040.53.07.894 W124.02.19.272 
                          N040.53.07.894 W124.02.19.272 N040.53.04.858 W124.02.23.038 
                          N040.53.04.858 W124.02.23.038 N040.53.02.116 W124.02.27.179 
                          N040.53.02.116 W124.02.27.179 N040.52.59.694 W124.02.31.656 
                          N040.52.59.694 W124.02.31.656 N040.52.57.615 W124.02.36.425 
                          N040.52.57.615 W124.02.36.425 N040.52.55.900 W124.02.41.441 
                          N040.52.55.900 W124.02.41.441 N040.52.54.564 W124.02.46.655 
                          N040.52.54.564 W124.02.46.655 N040.52.53.622 W124.02.52.017 
                          N040.52.53.622 W124.02.52.017 N040.52.53.081 W124.02.57.475 
                          N040.52.53.081 W124.02.57.475 N040.52.52.947 W124.03.02.977 
                          N040.52.52.947 W124.03.02.977 N040.52.53.221 W124.03.08.470 
                          N040.52.53.221 W124.03.08.470 N040.52.53.901 W124.03.13.901 
                          N040.52.53.901 W124.03.13.901 N040.52.54.981 W124.03.19.218 
                          N040.52.54.989 W124.03.19.253 N040.52.58.884 W124.03.17.311 
                          N040.52.58.884 W124.03.17.311 N040.53.02.616 W124.03.14.874 
                          N040.53.02.616 W124.03.14.874 N040.53.06.149 W124.03.11.965 
                          N040.53.06.149 W124.03.11.965 N040.53.09.450 W124.03.08.611 
                          N040.53.09.450 W124.03.08.611 N040.53.12.486 W124.03.04.845 
                          N040.53.12.486 W124.03.04.845 N040.53.15.229 W124.03.00.704 
                          N040.53.15.229 W124.03.00.704 N040.53.17.651 W124.02.56.227 
                          N040.53.17.651 W124.02.56.227 N040.53.19.730 W124.02.51.458 
                          N040.53.19.730 W124.02.51.458 N040.53.21.446 W124.02.46.442 
                          N040.53.21.446 W124.02.46.442 N040.53.22.781 W124.02.41.227 
                          N040.53.22.781 W124.02.41.227 N040.53.23.724 W124.02.35.864 
                          N040.53.23.724 W124.02.35.864 N040.53.24.264 W124.02.30.405 
                          N040.53.24.264 W124.02.30.405 N040.53.24.398 W124.02.24.903 
                          N040.53.24.398 W124.02.24.903 N040.53.24.123 W124.02.19.409 
                          N040.53.24.123 W124.02.19.409 N040.53.23.442 W124.02.13.978 
                          N040.53.23.442 W124.02.13.978 N040.53.22.362 W124.02.08.661 
    ; KACV 32 center cross at OMBEE                        
                          N040.51.24.294 W124.00.41.564 N040.50.52.532 W124.02.03.369 
