((LMT-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.28.57.546 W122.54.52.784 N042.28.58.228 W122.54.49.733 RVM
                          N042.28.58.228 W122.54.49.733 N042.28.58.459 W122.54.46.561 RVM
    ; ACLOB
                          N042.14.11.533 W122.15.47.708 N042.14.33.974 W122.18.14.440 RVM
                          N042.14.48.367 W122.18.07.526 N042.13.57.142 W122.15.54.629 RVM
    ; BRUTE
                          N042.24.52.453 W122.44.27.821 N042.24.01.736 W122.42.14.214 RVM
                          N042.24.19.567 W122.44.35.428 N042.24.34.620 W122.42.06.587 RVM
    ; CEGAN
                          N042.16.51.738 W122.23.28.557 N042.16.00.611 W122.21.15.518 RVM
                          N042.15.36.959 W122.22.56.571 N042.17.15.399 W122.21.47.474 RVM
    ; EAGGL
                          N041.36.14.966 W121.31.53.050 N041.34.27.734 W121.31.15.099 RVM
                          N041.36.04.077 W121.30.46.785 N041.34.38.617 W121.32.21.337 RVM
    ; FNGRR
                          N042.15.24.102 W121.53.37.608 N042.16.35.390 W121.55.32.450 RVM
                          N042.16.42.240 W121.53.46.845 N042.15.17.255 W121.55.23.177 RVM
    ; GACEV
                          N041.57.11.675 W121.33.44.938 N041.55.37.042 W121.32.27.138 RVM
                          N041.55.55.420 W121.34.09.633 N041.56.53.290 W121.32.02.411 RVM
    ; KAGYE
                          N041.29.52.484 W121.44.33.738 N041.28.01.576 W121.44.36.281 RVM
                          N041.28.03.524 W121.44.54.500 N041.29.50.535 W121.44.15.511 RVM
    ; LANKS
                          N042.22.21.776 W122.37.50.820 N042.21.30.953 W122.35.37.375 RVM
                          N042.21.07.070 W122.37.18.475 N042.22.45.667 W122.36.09.690 RVM
    ; LEIFF
                          N042.13.06.595 W122.08.44.760 N042.13.29.192 W122.11.11.407 RVM
                          N042.14.12.199 W122.09.42.820 N042.12.23.600 W122.10.13.333 RVM
    ; MIXUP
                          N042.30.19.124 W121.59.12.971 N042.31.56.453 W122.00.25.165 RVM
                          N042.31.04.864 W122.01.04.204 N042.31.10.703 W121.58.33.915 RVM
    ; MUREX
                          N041.53.06.485 W121.44.00.845 N041.51.15.575 W121.44.03.335 RVM
                          N041.52.43.081 W121.45.02.879 N041.51.38.970 W121.43.01.318 RVM
    ; OLEBY
                          N042.12.05.427 W122.02.09.779 N042.12.28.160 W122.04.36.348 RVM
                          N042.13.11.085 W122.03.07.712 N042.11.22.514 W122.03.38.401 RVM
    ; PEREZ
                          N041.37.21.861 W121.27.17.434 N041.35.38.198 W121.26.24.638 RVM
                          N041.36.10.287 W121.28.00.345 N041.36.49.762 W121.25.41.703 RVM
    ; RNAV fix PIKYI
                          N042.24.12.142 W121.51.40.425 N042.24.08.361 W121.51.42.622 RVM
                          N042.24.08.361 W121.51.42.622 N042.24.04.970 W121.51.45.776 RVM
                          N042.24.04.970 W121.51.45.776 N042.24.02.098 W121.51.49.765 RVM
                          N042.24.02.098 W121.51.49.765 N042.23.59.856 W121.51.54.436 RVM
                          N042.23.59.856 W121.51.54.436 N042.23.58.330 W121.51.59.610 RVM
                          N042.23.58.330 W121.51.59.610 N042.23.57.579 W121.52.05.087 RVM
                          N042.23.57.579 W121.52.05.087 N042.23.57.631 W121.52.10.658 RVM
                          N042.23.57.631 W121.52.10.658 N042.23.58.484 W121.52.16.107 RVM
                          N042.23.45.793 W121.51.21.933 N042.23.47.416 W121.51.27.052 RVM
                          N042.23.47.416 W121.51.27.052 N042.23.49.744 W121.51.31.645 RVM
                          N042.23.49.744 W121.51.31.645 N042.23.52.690 W121.51.35.534 RVM
                          N042.23.52.690 W121.51.35.534 N042.23.56.139 W121.51.38.570 RVM
                          N042.23.56.139 W121.51.38.570 N042.23.59.959 W121.51.40.637 RVM
                          N042.23.59.959 W121.51.40.637 N042.24.04.004 W121.51.41.655 RVM
                          N042.24.04.004 W121.51.41.655 N042.24.08.117 W121.51.41.585 RVM
                          N042.24.08.117 W121.51.41.585 N042.24.12.142 W121.51.40.430 RVM
                          N042.23.32.135 W121.51.57.610 N042.23.35.915 W121.51.55.414 RVM
                          N042.23.35.915 W121.51.55.414 N042.23.39.307 W121.51.52.261 RVM
                          N042.23.39.307 W121.51.52.261 N042.23.42.179 W121.51.48.273 RVM
                          N042.23.42.179 W121.51.48.273 N042.23.44.421 W121.51.43.602 RVM
                          N042.23.44.421 W121.51.43.602 N042.23.45.948 W121.51.38.429 RVM
                          N042.23.45.948 W121.51.38.429 N042.23.46.699 W121.51.32.952 RVM
                          N042.23.46.699 W121.51.32.952 N042.23.46.647 W121.51.27.382 RVM
                          N042.23.46.647 W121.51.27.382 N042.23.45.793 W121.51.21.933 RVM
                          N042.23.58.484 W121.52.16.107 N042.23.56.862 W121.52.10.988 RVM
                          N042.23.56.862 W121.52.10.988 N042.23.54.533 W121.52.06.396 RVM
                          N042.23.54.533 W121.52.06.396 N042.23.51.587 W121.52.02.507 RVM
                          N042.23.51.587 W121.52.02.507 N042.23.48.138 W121.51.59.471 RVM
                          N042.23.48.138 W121.51.59.471 N042.23.44.317 W121.51.57.405 RVM
                          N042.23.44.317 W121.51.57.405 N042.23.40.273 W121.51.56.388 RVM
                          N042.23.40.273 W121.51.56.388 N042.23.36.159 W121.51.56.459 RVM
                          N042.23.36.159 W121.51.56.459 N042.23.32.135 W121.51.57.615 RVM
    ; SPRAG
                          N042.30.58.658 W121.39.21.931 N042.32.48.422 W121.39.00.204 RVM
                          N042.31.51.370 W121.37.55.864 N042.31.55.696 W121.40.26.278 RVM
    ; TULIP
                          N041.55.29.315 W121.32.20.898 N041.53.54.662 W121.31.03.178 RVM
                          N041.55.16.037 W121.30.43.192 N041.54.07.935 W121.32.40.851 RVM
    ; YANEX
                          N042.15.58.544 W121.19.39.165 N042.16.37.844 W121.17.18.983 RVM
                          N042.15.26.334 W121.18.02.531 N042.17.10.064 W121.18.55.641 RVM
                          N042.38.54.813 W121.37.47.778 N043.08.28.720 W121.31.53.539 RVM
                          N042.35.30.745 W122.03.04.533 N043.01.46.517 W122.22.47.076 RVM
                          N042.17.21.464 W122.24.45.865 N042.21.02.099 W122.34.21.904 RVM
                          N042.22.51.246 W122.39.08.420 N042.23.18.666 W122.40.20.611 RVM
                          N042.25.21.904 W122.45.45.486 N042.28.06.014 W122.52.59.335 RVM
                          N041.36.11.827 W121.44.24.784 N041.28.12.226 W121.44.36.062 RVM
                          N041.27.01.336 W121.45.17.113 N041.09.39.895 W121.51.34.172 RVM
                          N041.46.30.606 W121.24.59.619 N041.21.07.945 W121.04.25.425 RVM
                          N041.53.00.000 W122.18.00.000 N041.55.05.130 W122.20.04.925 RVM
                          N041.57.54.959 W122.22.54.754 N042.00.00.000 W122.25.00.000 RVM
                          N042.00.00.000 W122.25.00.000 N042.02.35.895 W122.25.00.000 RVM
                          N042.20.24.105 W122.25.00.000 N042.23.00.000 W122.25.00.000 RVM
                          N042.23.00.000 W122.25.00.000 N042.24.36.094 W122.22.13.774 RVM
                          N042.33.59.368 W122.05.54.202 N042.35.35.000 W122.03.07.000 RVM
                          N042.35.35.000 W122.03.07.000 N042.36.24.980 W122.00.58.130 RVM
                          N042.36.24.980 W122.00.58.130 N042.37.30.330 W121.57.42.320 RVM
                          N042.37.30.330 W121.57.42.320 N042.38.14.120 W121.54.15.390 RVM
                          N042.38.14.120 W121.54.15.390 N042.38.50.640 W121.50.44.150 RVM
                          N042.38.50.640 W121.50.44.150 N042.39.08.220 W121.47.15.800 RVM
                          N042.39.08.220 W121.47.15.800 N042.39.14.270 W121.43.39.830 RVM
                          N042.39.14.270 W121.43.39.830 N042.39.08.220 W121.40.12.850 RVM
                          N042.39.08.220 W121.40.12.850 N042.38.50.640 W121.36.35.500 RVM
                          N042.38.50.640 W121.36.35.500 N042.38.14.120 W121.33.13.260 RVM
                          N042.38.14.120 W121.33.13.260 N042.37.30.330 W121.29.46.330 RVM
                          N042.37.30.330 W121.29.46.330 N042.36.24.980 W121.26.30.520 RVM
                          N042.36.24.980 W121.26.30.520 N042.35.11.780 W121.23.23.070 RVM
                          N042.35.11.780 W121.23.23.070 N042.33.47.400 W121.20.20.590 RVM
                          N042.33.47.400 W121.20.20.590 N042.32.09.440 W121.17.36.880 RVM
                          N042.32.09.440 W121.17.36.880 N042.30.25.360 W121.14.57.860 RVM
                          N042.30.25.360 W121.14.57.860 N042.28.25.420 W121.12.35.440 RVM
                          N042.28.25.420 W121.12.35.440 N042.26.27.630 W121.10.22.470 RVM
                          N042.26.27.630 W121.10.22.470 N042.22.41.000 W121.07.31.000 RVM
                          N042.22.41.000 W121.07.31.000 N042.20.14.119 W121.08.41.696 RVM
                          N042.10.25.428 W121.13.24.065 N042.08.47.508 W121.14.11.054 RVM
                          N042.12.03.473 W121.12.37.535 N042.10.25.428 W121.13.24.065 RVM
                          N041.58.09.557 W121.19.14.857 N041.56.31.638 W121.20.01.694 RVM
                          N041.59.47.602 W121.18.28.476 N041.58.09.557 W121.19.14.857 RVM
                          N042.22.41.000 W121.07.31.000 N042.20.14.119 W121.08.41.696 RVM
                          N041.44.30.065 W121.25.42.706 N041.42.03.000 W121.26.52.000 RVM
                          N041.42.03.000 W121.26.52.000 N041.40.59.570 W121.30.01.640 RVM
                          N041.40.59.570 W121.30.01.640 N041.40.13.890 W121.33.19.170 RVM
                          N041.40.13.890 W121.33.19.170 N041.39.42.610 W121.36.47.110 RVM
                          N041.39.42.610 W121.36.47.110 N041.39.19.230 W121.40.10.160 RVM
                          N041.39.19.230 W121.40.10.160 N041.39.14.270 W121.43.39.830 RVM
                          N041.39.14.270 W121.43.39.830 N041.39.19.230 W121.47.09.490 RVM
                          N041.39.19.230 W121.47.09.490 N041.39.42.610 W121.50.41.540 RVM
                          N041.39.42.610 W121.50.41.540 N041.40.13.890 W121.54.09.480 RVM
                          N041.40.13.890 W121.54.09.480 N041.40.59.570 W121.57.27.020 RVM
                          N041.40.59.570 W121.57.27.020 N041.42.05.150 W122.00.46.190 RVM
                          N041.42.05.150 W122.00.46.190 N041.43.17.200 W122.03.52.460 RVM
                          N041.43.17.200 W122.03.52.460 N041.44.39.350 W122.06.49.810 RVM
                          N041.44.39.350 W122.06.49.810 N041.46.14.340 W122.09.33.870 RVM
                          N041.46.14.340 W122.09.33.870 N041.47.55.070 W122.12.09.990 RVM
                          N041.47.55.070 W122.12.09.990 N041.49.51.660 W122.14.35.320 RVM
                          N041.49.51.660 W122.14.35.320 N041.52.08.000 W122.16.43.000 RVM
                          N041.52.08.000 W122.16.43.000 N041.53.00.000 W122.18.00.000 RVM
                          N042.55.41.343 W122.52.33.358 N042.54.10.960 W122.49.39.918 RVM
                          N042.42.57.957 W122.28.17.214 N042.41.26.966 W122.25.24.959 RVM
                          N042.41.26.966 W122.25.24.959 N042.38.51.101 W122.25.20.807 RVM
                          N042.25.39.376 W122.24.59.802 N042.23.03.511 W122.24.55.684 RVM
                          N042.23.03.511 W122.24.55.684 N042.20.27.644 W122.24.59.695 RVM
                          N042.02.24.209 W122.25.27.423 N041.59.48.342 W122.25.31.390 RVM
                          N041.59.48.342 W122.25.31.390 N041.59.51.587 W122.29.01.112 RVM
                          N042.00.21.837 W123.10.12.934 N042.00.23.726 W123.13.42.716 RVM
                          N042.55.46.909 W123.04.34.720 N042.55.45.397 W123.01.01.815 RVM
                          N042.55.43.117 W122.56.06.255 N042.55.41.343 W122.52.33.358 RVM
    ;GPS                          N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
    ; RNAV final leg from KLMT14 to HOKBI
                          N042.11.04.855 W121.44.55.339 N042.12.00.573 W121.45.25.236 RVM
                          N042.12.56.289 W121.45.55.147 N042.13.52.003 W121.46.25.073 RVM
                          N042.14.47.714 W121.46.55.014 N042.15.32.380 W121.47.19.030 RVM
    ; RNAV final leg from HOKBI to FOVMI
                          N042.15.32.380 W121.47.19.030 N042.15.43.423 W121.47.24.973 RVM
                          N042.16.39.124 W121.47.54.963 N042.16.50.390 W121.48.01.030 RVM
    ; RNAV final leg from FOVMI to CUTOK
                          N042.16.50.390 W121.48.01.030 N042.17.34.816 W121.48.24.992 RVM
    ; RNAV final leg from CUTOK to PIKYI
                          N042.18.30.503 W121.48.55.046 N042.19.26.185 W121.49.25.126 RVM
                          N042.20.21.864 W121.49.55.221 N042.21.17.541 W121.50.25.330 RVM
                          N042.22.13.216 W121.50.55.455 N042.23.08.888 W121.51.25.594 RVM
    ; RNAV leg MIXUP->PIKYI
                          N042.30.21.291 W121.58.57.705 N042.24.38.692 W121.52.40.198 RVM
    ; RNAV leg SPRAG->PIKYI
                          N042.31.14.470 W121.40.12.786 N042.24.31.313 W121.50.47.545 RVM
    ; RNAV fix CUTOK
                          N042.18.37.532 W121.48.39.457 N042.18.33.751 W121.48.41.652 RVM
                          N042.18.33.751 W121.48.41.652 N042.18.30.360 W121.48.44.801 RVM
                          N042.18.30.360 W121.48.44.801 N042.18.27.488 W121.48.48.784 RVM
                          N042.18.27.488 W121.48.48.784 N042.18.25.246 W121.48.53.448 RVM
                          N042.18.25.246 W121.48.53.448 N042.18.23.720 W121.48.58.614 RVM
                          N042.18.23.720 W121.48.58.614 N042.18.22.969 W121.49.04.083 RVM
                          N042.18.22.969 W121.49.04.083 N042.18.23.021 W121.49.09.646 RVM
                          N042.18.23.021 W121.49.09.646 N042.18.23.874 W121.49.15.087 RVM
                          N042.18.11.183 W121.48.20.993 N042.18.12.806 W121.48.26.104 RVM
                          N042.18.12.806 W121.48.26.104 N042.18.15.134 W121.48.30.690 RVM
                          N042.18.15.134 W121.48.30.690 N042.18.18.080 W121.48.34.574 RVM
                          N042.18.18.080 W121.48.34.574 N042.18.21.529 W121.48.37.606 RVM
                          N042.18.21.529 W121.48.37.606 N042.18.25.349 W121.48.39.670 RVM
                          N042.18.25.349 W121.48.39.670 N042.18.29.394 W121.48.40.686 RVM
                          N042.18.29.394 W121.48.40.686 N042.18.33.507 W121.48.40.616 RVM
                          N042.18.33.507 W121.48.40.616 N042.18.37.532 W121.48.39.463 RVM
                          N042.17.57.525 W121.48.56.617 N042.18.01.305 W121.48.54.424 RVM
                          N042.18.01.305 W121.48.54.424 N042.18.04.697 W121.48.51.276 RVM
                          N042.18.04.697 W121.48.51.276 N042.18.07.569 W121.48.47.294 RVM
                          N042.18.07.569 W121.48.47.294 N042.18.09.811 W121.48.42.630 RVM
                          N042.18.09.811 W121.48.42.630 N042.18.11.338 W121.48.37.465 RVM
                          N042.18.11.338 W121.48.37.465 N042.18.12.089 W121.48.31.996 RVM
                          N042.18.12.089 W121.48.31.996 N042.18.12.037 W121.48.26.434 RVM
                          N042.18.12.037 W121.48.26.434 N042.18.11.183 W121.48.20.993 RVM
                          N042.18.23.874 W121.49.15.087 N042.18.22.252 W121.49.09.975 RVM
                          N042.18.22.252 W121.49.09.975 N042.18.19.923 W121.49.05.390 RVM
                          N042.18.19.923 W121.49.05.390 N042.18.16.977 W121.49.01.507 RVM
                          N042.18.16.977 W121.49.01.507 N042.18.13.528 W121.48.58.476 RVM
                          N042.18.13.528 W121.48.58.476 N042.18.09.707 W121.48.56.413 RVM
                          N042.18.09.707 W121.48.56.413 N042.18.05.663 W121.48.55.397 RVM
                          N042.18.05.663 W121.48.55.397 N042.18.01.549 W121.48.55.468 RVM
                          N042.18.01.549 W121.48.55.468 N042.17.57.525 W121.48.56.623 RVM
    ; RNAV fix LAGYI
                          N042.08.09.782 W121.43.01.501 N042.08.06.001 W121.43.03.689 RVM
                          N042.08.06.001 W121.43.03.689 N042.08.02.610 W121.43.06.830 RVM
                          N042.08.02.610 W121.43.06.830 N042.07.59.738 W121.43.10.802 RVM
                          N042.07.59.738 W121.43.10.802 N042.07.57.496 W121.43.15.453 RVM
                          N042.07.57.496 W121.43.15.453 N042.07.55.970 W121.43.20.605 RVM
                          N042.07.55.970 W121.43.20.605 N042.07.55.219 W121.43.26.059 RVM
                          N042.07.55.219 W121.43.26.059 N042.07.55.271 W121.43.31.606 RVM
                          N042.07.55.271 W121.43.31.606 N042.07.56.124 W121.43.37.033 RVM
                          N042.07.43.433 W121.42.43.087 N042.07.45.056 W121.42.48.185 RVM
                          N042.07.45.056 W121.42.48.185 N042.07.47.384 W121.42.52.758 RVM
                          N042.07.47.384 W121.42.52.758 N042.07.50.330 W121.42.56.631 RVM
                          N042.07.50.330 W121.42.56.631 N042.07.53.779 W121.42.59.654 RVM
                          N042.07.53.779 W121.42.59.654 N042.07.57.599 W121.43.01.713 RVM
                          N042.07.57.599 W121.43.01.713 N042.08.01.644 W121.43.02.727 RVM
                          N042.08.01.644 W121.43.02.727 N042.08.05.757 W121.43.02.657 RVM
                          N042.08.05.757 W121.43.02.657 N042.08.09.782 W121.43.01.506 RVM
                          N042.07.29.775 W121.43.18.614 N042.07.33.555 W121.43.16.427 RVM
                          N042.07.33.555 W121.43.16.427 N042.07.36.947 W121.43.13.287 RVM
                          N042.07.36.947 W121.43.13.287 N042.07.39.819 W121.43.09.316 RVM
                          N042.07.39.819 W121.43.09.316 N042.07.42.061 W121.43.04.665 RVM
                          N042.07.42.061 W121.43.04.665 N042.07.43.588 W121.42.59.514 RVM
                          N042.07.43.588 W121.42.59.514 N042.07.44.339 W121.42.54.060 RVM
                          N042.07.44.339 W121.42.54.060 N042.07.44.287 W121.42.48.514 RVM
                          N042.07.44.287 W121.42.48.514 N042.07.43.433 W121.42.43.087 RVM
                          N042.07.56.124 W121.43.37.033 N042.07.54.502 W121.43.31.935 RVM
                          N042.07.54.502 W121.43.31.935 N042.07.52.173 W121.43.27.362 RVM
                          N042.07.52.173 W121.43.27.362 N042.07.49.227 W121.43.23.490 RVM
                          N042.07.49.227 W121.43.23.490 N042.07.45.778 W121.43.20.467 RVM
                          N042.07.45.778 W121.43.20.467 N042.07.41.957 W121.43.18.410 RVM
                          N042.07.41.957 W121.43.18.410 N042.07.37.913 W121.43.17.397 RVM
                          N042.07.37.913 W121.43.17.397 N042.07.33.799 W121.43.17.467 RVM
                          N042.07.33.799 W121.43.17.467 N042.07.29.775 W121.43.18.619 RVM
    ; RNAV fix MIXUP
                          N042.31.27.792 W121.59.40.448 N042.31.24.011 W121.59.42.650 RVM
                          N042.31.24.011 W121.59.42.650 N042.31.20.620 W121.59.45.810 RVM
                          N042.31.20.620 W121.59.45.810 N042.31.17.748 W121.59.49.807 RVM
                          N042.31.17.748 W121.59.49.807 N042.31.15.506 W121.59.54.487 RVM
                          N042.31.15.506 W121.59.54.487 N042.31.13.980 W121.59.59.670 RVM
                          N042.31.13.980 W121.59.59.670 N042.31.13.229 W122.00.05.158 RVM
                          N042.31.13.229 W122.00.05.158 N042.31.13.281 W122.00.10.739 RVM
                          N042.31.13.281 W122.00.10.739 N042.31.14.134 W122.00.16.200 RVM
                          N042.31.01.443 W121.59.21.920 N042.31.03.066 W121.59.27.049 RVM
                          N042.31.03.066 W121.59.27.049 N042.31.05.394 W121.59.31.651 RVM
                          N042.31.05.394 W121.59.31.651 N042.31.08.339 W121.59.35.548 RVM
                          N042.31.08.339 W121.59.35.548 N042.31.11.789 W121.59.38.590 RVM
                          N042.31.11.789 W121.59.38.590 N042.31.15.609 W121.59.40.661 RVM
                          N042.31.15.609 W121.59.40.661 N042.31.19.654 W121.59.41.681 RVM
                          N042.31.19.654 W121.59.41.681 N042.31.23.767 W121.59.41.611 RVM
                          N042.31.23.767 W121.59.41.611 N042.31.27.792 W121.59.40.453 RVM
                          N042.30.47.785 W121.59.57.667 N042.30.51.565 W121.59.55.466 RVM
                          N042.30.51.565 W121.59.55.466 N042.30.54.957 W121.59.52.307 RVM
                          N042.30.54.957 W121.59.52.307 N042.30.57.829 W121.59.48.311 RVM
                          N042.30.57.829 W121.59.48.311 N042.31.00.071 W121.59.43.632 RVM
                          N042.31.00.071 W121.59.43.632 N042.31.01.598 W121.59.38.449 RVM
                          N042.31.01.598 W121.59.38.449 N042.31.02.349 W121.59.32.961 RVM
                          N042.31.02.349 W121.59.32.961 N042.31.02.297 W121.59.27.380 RVM
                          N042.31.02.297 W121.59.27.380 N042.31.01.443 W121.59.21.920 RVM
                          N042.31.14.134 W122.00.16.200 N042.31.12.512 W122.00.11.070 RVM
                          N042.31.12.512 W122.00.11.070 N042.31.10.183 W122.00.06.469 RVM
                          N042.31.10.183 W122.00.06.469 N042.31.07.237 W122.00.02.573 RVM
                          N042.31.07.237 W122.00.02.573 N042.31.03.788 W121.59.59.531 RVM
                          N042.31.03.788 W121.59.59.531 N042.30.59.967 W121.59.57.461 RVM
                          N042.30.59.967 W121.59.57.461 N042.30.55.923 W121.59.56.442 RVM
                          N042.30.55.923 W121.59.56.442 N042.30.51.809 W121.59.56.513 RVM
                          N042.30.51.809 W121.59.56.513 N042.30.47.785 W121.59.57.672 RVM
    ; RNAV fix MUREX
                          N041.52.31.032 W121.43.53.566 N041.52.27.251 W121.43.55.745 RVM
                          N041.52.27.251 W121.43.55.745 N041.52.23.860 W121.43.58.873 RVM
                          N041.52.23.860 W121.43.58.873 N041.52.20.988 W121.44.02.829 RVM
                          N041.52.20.988 W121.44.02.829 N041.52.18.746 W121.44.07.461 RVM
                          N041.52.18.746 W121.44.07.461 N041.52.17.220 W121.44.12.592 RVM
                          N041.52.17.220 W121.44.12.592 N041.52.16.469 W121.44.18.024 RVM
                          N041.52.16.469 W121.44.18.024 N041.52.16.521 W121.44.23.548 RVM
                          N041.52.16.521 W121.44.23.548 N041.52.17.374 W121.44.28.952 RVM
                          N041.52.04.683 W121.43.35.228 N041.52.06.306 W121.43.40.304 RVM
                          N041.52.06.306 W121.43.40.304 N041.52.08.634 W121.43.44.859 RVM
                          N041.52.08.634 W121.43.44.859 N041.52.11.580 W121.43.48.716 RVM
                          N041.52.11.580 W121.43.48.716 N041.52.15.029 W121.43.51.727 RVM
                          N041.52.15.029 W121.43.51.727 N041.52.18.849 W121.43.53.777 RVM
                          N041.52.18.849 W121.43.53.777 N041.52.22.894 W121.43.54.787 RVM
                          N041.52.22.894 W121.43.54.787 N041.52.27.007 W121.43.54.717 RVM
                          N041.52.27.007 W121.43.54.717 N041.52.31.032 W121.43.53.571 RVM
                          N041.51.51.025 W121.44.10.609 N041.51.54.805 W121.44.08.431 RVM
                          N041.51.54.805 W121.44.08.431 N041.51.58.197 W121.44.05.304 RVM
                          N041.51.58.197 W121.44.05.304 N041.52.01.069 W121.44.01.349 RVM
                          N041.52.01.069 W121.44.01.349 N041.52.03.311 W121.43.56.717 RVM
                          N041.52.03.311 W121.43.56.717 N041.52.04.838 W121.43.51.587 RVM
                          N041.52.04.838 W121.43.51.587 N041.52.05.589 W121.43.46.156 RVM
                          N041.52.05.589 W121.43.46.156 N041.52.05.537 W121.43.40.632 RVM
                          N041.52.05.537 W121.43.40.632 N041.52.04.683 W121.43.35.228 RVM
                          N041.52.17.374 W121.44.28.952 N041.52.15.752 W121.44.23.876 RVM
                          N041.52.15.752 W121.44.23.876 N041.52.13.423 W121.44.19.321 RVM
                          N041.52.13.423 W121.44.19.321 N041.52.10.477 W121.44.15.465 RVM
                          N041.52.10.477 W121.44.15.465 N041.52.07.028 W121.44.12.454 RVM
                          N041.52.07.028 W121.44.12.454 N041.52.03.207 W121.44.10.405 RVM
                          N041.52.03.207 W121.44.10.405 N041.51.59.163 W121.44.09.397 RVM
                          N041.51.59.163 W121.44.09.397 N041.51.55.049 W121.44.09.467 RVM
                          N041.51.55.049 W121.44.09.467 N041.51.51.025 W121.44.10.614 RVM
    ; RNAV fix PIKYI
                          N042.24.12.142 W121.51.40.425 N042.24.08.361 W121.51.42.622 RVM
                          N042.24.08.361 W121.51.42.622 N042.24.04.970 W121.51.45.776 RVM
                          N042.24.04.970 W121.51.45.776 N042.24.02.098 W121.51.49.765 RVM
                          N042.24.02.098 W121.51.49.765 N042.23.59.856 W121.51.54.436 RVM
                          N042.23.59.856 W121.51.54.436 N042.23.58.330 W121.51.59.610 RVM
                          N042.23.58.330 W121.51.59.610 N042.23.57.579 W121.52.05.087 RVM
                          N042.23.57.579 W121.52.05.087 N042.23.57.631 W121.52.10.658 RVM
                          N042.23.57.631 W121.52.10.658 N042.23.58.484 W121.52.16.107 RVM
                          N042.23.45.793 W121.51.21.933 N042.23.47.416 W121.51.27.052 RVM
                          N042.23.47.416 W121.51.27.052 N042.23.49.744 W121.51.31.645 RVM
                          N042.23.49.744 W121.51.31.645 N042.23.52.690 W121.51.35.534 RVM
                          N042.23.52.690 W121.51.35.534 N042.23.56.139 W121.51.38.570 RVM
                          N042.23.56.139 W121.51.38.570 N042.23.59.959 W121.51.40.637 RVM
                          N042.23.59.959 W121.51.40.637 N042.24.04.004 W121.51.41.655 RVM
                          N042.24.04.004 W121.51.41.655 N042.24.08.117 W121.51.41.585 RVM
                          N042.24.08.117 W121.51.41.585 N042.24.12.142 W121.51.40.430 RVM
                          N042.23.32.135 W121.51.57.610 N042.23.35.915 W121.51.55.414 RVM
                          N042.23.35.915 W121.51.55.414 N042.23.39.307 W121.51.52.261 RVM
                          N042.23.39.307 W121.51.52.261 N042.23.42.179 W121.51.48.273 RVM
                          N042.23.42.179 W121.51.48.273 N042.23.44.421 W121.51.43.602 RVM
                          N042.23.44.421 W121.51.43.602 N042.23.45.948 W121.51.38.429 RVM
                          N042.23.45.948 W121.51.38.429 N042.23.46.699 W121.51.32.952 RVM
                          N042.23.46.699 W121.51.32.952 N042.23.46.647 W121.51.27.382 RVM
                          N042.23.46.647 W121.51.27.382 N042.23.45.793 W121.51.21.933 RVM
                          N042.23.58.484 W121.52.16.107 N042.23.56.862 W121.52.10.988 RVM
                          N042.23.56.862 W121.52.10.988 N042.23.54.533 W121.52.06.396 RVM
                          N042.23.54.533 W121.52.06.396 N042.23.51.587 W121.52.02.507 RVM
                          N042.23.51.587 W121.52.02.507 N042.23.48.138 W121.51.59.471 RVM
                          N042.23.48.138 W121.51.59.471 N042.23.44.317 W121.51.57.405 RVM
                          N042.23.44.317 W121.51.57.405 N042.23.40.273 W121.51.56.388 RVM
                          N042.23.40.273 W121.51.56.388 N042.23.36.159 W121.51.56.459 RVM
                          N042.23.36.159 W121.51.56.459 N042.23.32.135 W121.51.57.615 RVM
    ; RNAV fix SPRAG
                          N042.32.13.542 W121.39.02.456 N042.32.09.761 W121.39.04.658 RVM
                          N042.32.09.761 W121.39.04.658 N042.32.06.370 W121.39.07.819 RVM
                          N042.32.06.370 W121.39.07.819 N042.32.03.498 W121.39.11.817 RVM
                          N042.32.03.498 W121.39.11.817 N042.32.01.256 W121.39.16.498 RVM
                          N042.32.01.256 W121.39.16.498 N042.31.59.730 W121.39.21.682 RVM
                          N042.31.59.730 W121.39.21.682 N042.31.58.979 W121.39.27.171 RVM
                          N042.31.58.979 W121.39.27.171 N042.31.59.031 W121.39.32.754 RVM
                          N042.31.59.031 W121.39.32.754 N042.31.59.884 W121.39.38.215 RVM
                          N042.31.47.193 W121.38.43.925 N042.31.48.816 W121.38.49.055 RVM
                          N042.31.48.816 W121.38.49.055 N042.31.51.144 W121.38.53.657 RVM
                          N042.31.51.144 W121.38.53.657 N042.31.54.089 W121.38.57.555 RVM
                          N042.31.54.089 W121.38.57.555 N042.31.57.539 W121.39.00.598 RVM
                          N042.31.57.539 W121.39.00.598 N042.32.01.359 W121.39.02.669 RVM
                          N042.32.01.359 W121.39.02.669 N042.32.05.404 W121.39.03.690 RVM
                          N042.32.05.404 W121.39.03.690 N042.32.09.517 W121.39.03.620 RVM
                          N042.32.09.517 W121.39.03.620 N042.32.13.542 W121.39.02.462 RVM
                          N042.31.33.535 W121.39.19.678 N042.31.37.315 W121.39.17.477 RVM
                          N042.31.37.315 W121.39.17.477 N042.31.40.707 W121.39.14.318 RVM
                          N042.31.40.707 W121.39.14.318 N042.31.43.579 W121.39.10.321 RVM
