((YKM-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N046.40.50.581 W119.55.17.834 N046.40.51.946 W119.55.24.392 RVM
                          N046.40.51.946 W119.55.24.392 N046.40.54.162 W119.55.30.436 RVM
                          N046.40.54.162 W119.55.30.436 N046.40.57.144 W119.55.35.734 RVM
                          N046.40.57.144 W119.55.35.734 N046.41.00.778 W119.55.40.083 RVM
                          N046.41.00.778 W119.55.40.083 N046.41.04.925 W119.55.43.314 RVM
                          N046.41.04.925 W119.55.43.314 N046.41.09.424 W119.55.45.304 RVM
                          N046.41.09.424 W119.55.45.304 N046.41.14.103 W119.55.45.977 RVM
                          N046.41.14.103 W119.55.45.977 N046.41.18.782 W119.55.45.306 RVM
                          N046.41.18.782 W119.55.45.306 N046.41.23.281 W119.55.43.317 RVM
                          N046.41.23.281 W119.55.43.317 N046.41.27.428 W119.55.40.087 RVM
                          N046.41.27.428 W119.55.40.087 N046.41.31.062 W119.55.35.739 RVM
                          N046.41.31.062 W119.55.35.739 N046.41.34.045 W119.55.30.440 RVM
                          N046.41.34.045 W119.55.30.440 N046.41.36.262 W119.55.24.395 RVM
                          N046.41.36.262 W119.55.24.395 N046.41.37.627 W119.55.17.836 RVM
                          N046.41.37.627 W119.55.17.836 N046.41.38.088 W119.55.11.014 RVM
                          N046.41.38.088 W119.55.11.014 N046.41.50.080 W119.55.11.014 RVM
                          N046.41.14.103 W119.54.36.051 N046.41.14.101 W119.54.18.570 RVM
                          N046.40.50.120 W119.55.11.014 N046.40.38.128 W119.55.11.014 RVM
                          N046.41.14.103 W119.55.45.977 N046.41.14.101 W119.56.03.458 RVM
    ; S93
                          N047.12.03.318 W120.53.00.310 N047.12.02.857 W120.52.53.423 RVM
                          N047.12.02.857 W120.52.53.423 N047.12.01.492 W120.52.46.801 RVM
                          N047.12.01.492 W120.52.46.801 N047.11.59.275 W120.52.40.699 RVM
                          N047.11.59.275 W120.52.40.699 N047.11.56.292 W120.52.35.350 RVM
                          N047.11.56.292 W120.52.35.350 N047.11.52.658 W120.52.30.961 RVM
                          N047.11.52.658 W120.52.30.961 N047.11.48.511 W120.52.27.700 RVM
                          N047.11.48.511 W120.52.27.700 N047.11.44.012 W120.52.25.692 RVM
                          N047.11.44.012 W120.52.25.692 N047.11.39.332 W120.52.25.015 RVM
                          N047.11.39.332 W120.52.25.015 N047.11.34.654 W120.52.25.694 RVM
                          N047.11.34.654 W120.52.25.694 N047.11.30.154 W120.52.27.703 RVM
                          N047.11.30.154 W120.52.27.703 N047.11.26.008 W120.52.30.965 RVM
                          N047.11.26.008 W120.52.30.965 N047.11.22.374 W120.52.35.355 RVM
                          N047.11.22.374 W120.52.35.355 N047.11.19.392 W120.52.40.703 RVM
                          N047.11.19.392 W120.52.40.703 N047.11.17.176 W120.52.46.805 RVM
                          N047.11.17.176 W120.52.46.805 N047.11.15.811 W120.52.53.425 RVM
                          N047.11.15.811 W120.52.53.425 N047.11.15.350 W120.53.00.310 RVM
