((PSC-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N045.49.58.558 W119.15.08.660 N045.49.54.924 W119.15.04.379 RVM 
                          N045.49.54.924 W119.15.04.379 N045.49.50.777 W119.15.01.199 RVM 
                          N045.49.50.777 W119.15.01.199 N045.49.46.278 W119.14.59.241 RVM 
                          N045.49.46.278 W119.14.59.241 N045.49.41.599 W119.14.58.581 RVM 
                          N045.49.41.599 W119.14.58.581 N045.49.36.920 W119.14.59.243 RVM 
                          N045.49.36.920 W119.14.59.243 N045.49.32.421 W119.15.01.202 RVM 
                          N045.49.32.421 W119.15.01.202 N045.49.28.274 W119.15.04.383 RVM 
                          N045.49.28.274 W119.15.04.383 N045.49.24.640 W119.15.08.664 RVM 
                          N045.49.24.640 W119.15.08.664 N045.49.21.658 W119.15.13.880 RVM 
                          N045.49.21.658 W119.15.13.880 N045.49.19.442 W119.15.19.830 RVM 
                          N045.49.19.442 W119.15.19.830 N045.49.18.077 W119.15.26.286 RVM 
                          N045.49.18.077 W119.15.26.286 N045.49.17.616 W119.15.33.000 RVM 
                          N045.49.17.616 W119.15.33.000 N045.49.18.077 W119.15.39.714 RVM 
                          N045.49.18.077 W119.15.39.714 N045.49.19.442 W119.15.46.170 RVM 
                          N045.49.19.442 W119.15.46.170 N045.49.21.658 W119.15.52.120 RVM 
                          N045.49.21.658 W119.15.52.120 N045.49.24.640 W119.15.57.336 RVM 
                          N045.49.24.640 W119.15.57.336 N045.49.28.274 W119.16.01.617 RVM 
                          N045.49.28.274 W119.16.01.617 N045.49.32.421 W119.16.04.798 RVM 
                          N045.49.32.421 W119.16.04.798 N045.49.36.920 W119.16.06.757 RVM 
                          N045.49.36.920 W119.16.06.757 N045.49.41.599 W119.16.07.419 RVM 
                          N045.49.41.599 W119.16.07.419 N045.49.46.278 W119.16.06.759 RVM 
                          N045.49.46.278 W119.16.06.759 N045.49.50.777 W119.16.04.801 RVM 
                          N045.49.50.777 W119.16.04.801 N045.49.54.924 W119.16.01.621 RVM 
                          N045.49.54.924 W119.16.01.621 N045.49.58.558 W119.15.57.340 RVM 
                          N045.49.58.558 W119.15.57.340 N045.50.01.541 W119.15.52.124 RVM 
                          N045.50.01.541 W119.15.52.124 N045.50.03.758 W119.15.46.173 RVM 
                          N045.50.03.758 W119.15.46.173 N045.50.05.123 W119.15.39.716 RVM 
                          N045.50.05.123 W119.15.39.716 N045.50.05.584 W119.15.33.000 RVM 
                          N045.50.05.584 W119.15.33.000 N045.50.17.576 W119.15.33.000 RVM 
                          N045.49.41.599 W119.14.58.581 N045.49.41.597 W119.14.41.371 RVM 
                          N045.49.17.616 W119.15.33.000 N045.49.05.624 W119.15.33.000 RVM 
                          N045.49.41.599 W119.16.07.419 N045.49.41.597 W119.16.24.629 RVM 
    ; M50
                          N045.49.17.354 W119.49.13.802 N045.49.16.893 W119.49.07.088 RVM 
                          N045.49.16.893 W119.49.07.088 N045.49.15.528 W119.49.00.632 RVM 
                          N045.49.15.528 W119.49.00.632 N045.49.13.311 W119.48.54.682 RVM 
                          N045.49.13.311 W119.48.54.682 N045.49.10.328 W119.48.49.468 RVM 
                          N045.49.10.328 W119.48.49.468 N045.49.06.694 W119.48.45.188 RVM 
                          N045.49.06.694 W119.48.45.188 N045.49.02.547 W119.48.42.009 RVM 
                          N045.49.02.547 W119.48.42.009 N045.48.58.048 W119.48.40.051 RVM 
                          N045.48.58.048 W119.48.40.051 N045.48.53.369 W119.48.39.391 RVM 
                          N045.48.53.369 W119.48.39.391 N045.48.48.690 W119.48.40.053 RVM 
                          N045.48.48.690 W119.48.40.053 N045.48.44.191 W119.48.42.012 RVM 
                          N045.48.44.191 W119.48.42.012 N045.48.40.044 W119.48.45.192 RVM 
                          N045.48.40.044 W119.48.45.192 N045.48.36.410 W119.48.49.472 RVM 
                          N045.48.36.410 W119.48.49.472 N045.48.33.428 W119.48.54.686 RVM 
                          N045.48.33.428 W119.48.54.686 N045.48.31.212 W119.49.00.635 RVM 
                          N045.48.31.212 W119.49.00.635 N045.48.29.847 W119.49.07.090 RVM 
                          N045.48.29.847 W119.49.07.090 N045.48.29.386 W119.49.13.802 RVM 
                          N045.48.29.386 W119.49.13.802 N045.48.29.847 W119.49.20.514 RVM 
                          N045.48.29.847 W119.49.20.514 N045.48.31.212 W119.49.26.969 RVM 
                          N045.48.31.212 W119.49.26.969 N045.48.33.428 W119.49.32.918 RVM 
                          N045.48.33.428 W119.49.32.918 N045.48.36.410 W119.49.38.132 RVM 
                          N045.48.36.410 W119.49.38.132 N045.48.40.044 W119.49.42.412 RVM 
