                          N046.04.53.189 W120.31.23.088 N046.04.44.174 W120.31.23.088 ZSEHO
                          N046.04.53.189 W120.31.16.327 N046.04.53.189 W120.31.23.088 ZSEHO
                          N046.05.02.204 W120.39.38.163 N046.04.44.174 W120.39.25.392 ZSEHO
                          N046.05.02.204 W120.38.47.829 N046.05.20.234 W120.38.47.829 ZSEHO
                          N046.05.02.204 W120.33.57.846 N046.04.53.189 W120.33.51.836 ZSEHO
                          N046.05.02.204 W120.33.07.512 N046.05.20.234 W120.33.07.512 ZSEHO
                          N046.05.11.219 W120.30.33.505 N046.06.14.324 W120.30.01.953 ZSEHO
                          N046.05.11.219 W120.29.43.171 N046.05.11.219 W120.30.33.505 ZSEHO
                          N046.05.20.234 W120.38.47.829 N046.05.38.264 W120.38.59.849 ZSEHO
                          N046.05.20.234 W120.36.37.862 N046.05.20.234 W120.37.15.425 ZSEHO
                          N046.05.20.234 W120.33.07.512 N046.05.29.249 W120.33.13.522 ZSEHO
                          N046.05.29.249 W120.33.13.522 N046.05.38.264 W120.33.26.293 ZSEHO
                          N046.05.29.249 W120.32.49.482 N046.06.14.324 W120.32.49.482 ZSEHO
                          N046.05.29.249 W120.29.25.893 N046.06.14.324 W120.29.25.893 ZSEHO
                          N046.05.38.264 W120.33.26.293 N046.05.38.264 W120.33.39.064 ZSEHO
                          N046.05.38.264 W120.32.37.462 N046.05.29.249 W120.32.49.482 ZSEHO
                          N046.05.38.264 W120.33.39.064 N046.06.14.324 W120.33.13.522 ZSEHO
                          N046.05.38.264 W120.39.25.392 N046.05.20.234 W120.39.38.163 ZSEHO
                          N046.05.38.264 W120.38.59.849 N046.05.38.264 W120.39.25.392 ZSEHO
                          N046.05.38.264 W120.28.47.579 N046.05.38.264 W120.29.13.121 ZSEHO
                          N046.05.38.264 W120.28.35.559 N046.05.38.264 W120.28.47.579 ZSEHO
                          N046.05.38.264 W120.29.13.121 N046.05.29.249 W120.29.25.893 ZSEHO
                          N046.05.38.264 W120.32.11.919 N046.05.38.264 W120.32.37.462 ZSEHO
                          N046.05.38.264 W120.31.59.148 N046.05.38.264 W120.32.11.919 ZSEHO
                          N046.05.47.279 W120.40.39.766 N046.06.14.324 W120.40.20.984 ZSEHO
                          N046.05.47.279 W120.34.59.449 N046.06.14.324 W120.34.40.667 ZSEHO
                          N046.05.56.294 W120.39.38.163 N046.05.02.204 W120.39.38.163 ZSEHO
                          N046.06.05.309 W120.38.47.829 N046.06.14.324 W120.38.59.849 ZSEHO
                          N046.06.14.324 W120.38.59.849 N046.06.14.324 W120.39.25.392 ZSEHO
                          N046.06.14.324 W120.34.40.667 N046.04.44.174 W120.34.40.667 ZSEHO
                          N046.06.14.324 W120.40.20.984 N046.04.44.174 W120.40.20.984 ZSEHO
                          N046.06.14.324 W120.39.25.392 N046.05.56.294 W120.39.38.163 ZSEHO
                          N046.06.14.324 W120.30.01.953 N046.04.44.174 W120.30.01.953 ZSEHO
                          N046.06.14.324 W120.29.25.893 N046.06.14.324 W120.28.35.559 ZSEHO
                          N046.06.14.324 W120.33.13.522 N046.06.14.324 W120.33.51.836 ZSEHO
                          N046.06.14.324 W120.32.49.482 N046.06.14.324 W120.31.59.148 ZSEHO
                          N046.16.49.000 W121.23.53.000 N046.04.03.000 W121.57.15.000 ZSEHO
                          N046.25.26.000 W118.16.43.000 N046.38.45.000 W118.54.50.000 ZSEHO
                          N046.29.01.603 W117.42.24.941 N046.29.10.618 W117.42.24.941 ZSEHO
                          N046.29.01.603 W117.42.30.951 N046.29.01.603 W117.42.24.941 ZSEHO
                          N046.29.01.603 W117.43.45.325 N046.29.10.618 W117.43.58.096 ZSEHO
                          N046.29.01.603 W117.43.20.534 N046.29.01.603 W117.43.45.325 ZSEHO
                          N046.29.01.603 W117.42.30.951 N046.29.01.603 W117.42.30.951 ZSEHO
                          N046.29.01.603 W117.40.33.756 N046.29.19.633 W117.40.33.756 ZSEHO
                          N046.29.01.603 W117.39.43.422 N046.29.01.603 W117.40.33.756 ZSEHO
                          N046.29.01.603 W117.41.42.120 N046.29.19.633 W117.41.42.120 ZSEHO
                          N046.29.01.603 W117.40.51.786 N046.29.01.603 W117.41.42.120 ZSEHO
                          N046.29.10.618 W117.42.30.951 N046.29.01.603 W117.42.30.951 ZSEHO
                          N046.29.10.618 W117.42.24.941 N046.29.10.618 W117.42.30.951 ZSEHO
                          N046.29.19.633 W117.43.07.762 N046.29.01.603 W117.43.20.534 ZSEHO
                          N046.29.19.633 W117.41.42.120 N046.30.04.708 W117.40.51.786 ZSEHO
                          N046.29.19.633 W117.40.33.756 N046.30.04.708 W117.39.43.422 ZSEHO
                          N046.29.37.663 W117.47.45.726 N046.29.37.663 W117.48.24.039 ZSEHO
                          N046.29.37.663 W117.43.45.325 N046.29.55.693 W117.43.58.096 ZSEHO
                          N046.29.37.663 W117.43.20.534 N046.29.37.663 W117.43.45.325 ZSEHO
                          N046.29.55.693 W117.43.58.096 N046.30.13.723 W117.43.58.096 ZSEHO
                          N046.29.55.693 W117.43.07.762 N046.29.37.663 W117.43.20.534 ZSEHO
                          N046.30.04.708 W117.46.08.063 N046.30.31.002 W117.45.49.281 ZSEHO
                          N046.30.04.708 W117.50.40.016 N046.30.31.002 W117.50.21.235 ZSEHO
                          N046.30.04.708 W117.51.47.629 N046.30.31.002 W117.51.28.847 ZSEHO
                          N046.30.04.708 W117.39.43.422 N046.30.22.738 W117.39.43.422 ZSEHO
                          N046.30.04.708 W117.40.51.786 N046.30.22.738 W117.40.51.786 ZSEHO
                          N046.30.04.708 W117.44.59.699 N046.30.31.002 W117.44.40.918 ZSEHO
                          N046.30.13.723 W117.43.07.762 N046.29.19.633 W117.43.07.762 ZSEHO
                          N046.30.13.723 W117.43.58.096 N046.30.31.002 W117.43.45.325 ZSEHO
                          N046.30.22.738 W117.40.51.786 N046.30.31.002 W117.41.04.557 ZSEHO
                          N046.30.22.738 W117.39.43.422 N046.30.31.002 W117.39.56.193 ZSEHO
                          N046.30.31.002 W117.44.40.918 N046.29.01.603 W117.44.40.918 ZSEHO
                          N046.30.31.002 W117.43.20.534 N046.30.13.723 W117.43.07.762 ZSEHO
                          N046.30.31.002 W117.45.49.281 N046.29.01.603 W117.45.49.281 ZSEHO
                          N046.30.31.002 W117.51.28.847 N046.29.01.603 W117.51.28.847 ZSEHO
                          N046.30.31.002 W117.50.21.235 N046.29.01.603 W117.50.21.235 ZSEHO
                          N046.30.31.002 W117.40.21.736 N046.30.22.738 W117.40.33.756 ZSEHO
                          N046.30.31.002 W117.39.56.193 N046.30.31.002 W117.40.21.736 ZSEHO
                          N046.30.31.002 W117.41.04.557 N046.30.31.002 W117.41.29.348 ZSEHO
                          N046.30.31.002 W117.43.45.325 N046.30.31.002 W117.43.20.534 ZSEHO
                          N046.30.31.002 W117.41.29.348 N046.30.22.738 W117.41.42.120 ZSEHO
                          N046.35.48.782 W120.08.25.292 N046.35.57.797 W120.08.25.292 ZSEHO
                          N046.35.48.782 W120.08.31.302 N046.35.48.782 W120.08.25.292 ZSEHO
                          N046.35.48.782 W120.09.45.676 N046.35.48.782 W120.09.20.884 ZSEHO
                          N046.35.48.782 W120.16.27.595 N046.37.18.181 W120.15.56.043 ZSEHO
                          N046.35.48.782 W120.09.20.884 N046.36.06.812 W120.09.08.113 ZSEHO
                          N046.35.48.782 W120.05.56.544 N046.35.57.797 W120.05.43.772 ZSEHO
                          N046.35.48.782 W120.06.22.086 N046.35.48.782 W120.05.56.544 ZSEHO
                          N046.35.48.782 W120.07.29.699 N046.35.48.782 W120.07.04.908 ZSEHO
                          N046.35.48.782 W120.08.31.302 N046.35.48.782 W120.08.31.302 ZSEHO
                          N046.35.48.782 W120.07.04.908 N046.35.57.797 W120.06.52.136 ZSEHO
                          N046.35.57.797 W120.06.52.136 N046.36.42.121 W120.06.52.136 ZSEHO
                          N046.35.57.797 W120.08.25.292 N046.35.57.797 W120.08.31.302 ZSEHO
