                          N047.14.59.533 W123.40.01.589 N047.05.59.780 W124.14.48.520
                          N047.19.00.354 W122.09.59.593 N047.37.00.976 W122.09.59.593
                          N047.19.00.354 W121.52.59.875 N047.19.00.354 W122.09.59.593
                          N047.19.00.354 W121.52.59.875 N047.21.00.485 W121.41.59.991
                          N047.21.00.485 W121.31.00.666 N047.13.00.519 W120.45.00.999
                          N047.21.00.485 W121.41.59.991 N047.21.00.485 W121.31.00.666
                          N047.23.00.058 W122.29.59.230 N047.30.00.238 W122.29.59.230
                          N047.23.00.058 W122.39.59.327 N047.23.00.058 W122.29.59.230
                          N047.26.35.107 W122.05.22.951 N047.26.35.107 W122.05.02.798
                          N047.26.35.107 W122.05.22.951 N047.26.35.107 W122.05.22.951
                          N047.26.35.107 W122.05.02.798 N047.26.49.502 W122.04.52.797
                          N047.26.35.107 W122.05.57.197 N047.26.42.380 W122.05.47.196
                          N047.26.35.107 W122.06.17.351 N047.26.35.107 W122.05.57.197
                          N047.26.35.107 W122.04.28.552 N047.26.49.502 W122.04.38.705
                          N047.26.35.107 W121.59.51.404 N047.26.35.107 W121.59.41.404
                          N047.26.35.107 W121.58.57.005 N047.27.47.084 W121.58.31.851
                          N047.26.35.107 W121.59.41.404 N047.26.42.380 W121.59.31.251
                          N047.26.35.107 W122.04.08.399 N047.26.35.107 W122.04.28.552
                          N047.26.35.107 W122.02.09.448 N047.27.47.084 W122.02.09.448
                          N047.26.42.380 W122.01.40.203 N047.26.49.502 W122.01.40.203
                          N047.26.42.380 W122.01.35.202 N047.26.42.380 W122.01.40.203
                          N047.26.42.380 W122.05.47.196 N047.27.03.898 W122.05.47.196
                          N047.26.42.380 W122.06.27.503 N047.26.35.107 W122.06.17.351
                          N047.26.42.380 W122.00.01.557 N047.26.35.107 W121.59.51.404
                          N047.26.42.380 W122.00.01.557 N047.26.42.380 W122.00.01.557
                          N047.26.42.380 W122.01.35.202 N047.26.42.380 W122.01.35.202
                          N047.26.42.380 W121.59.31.251 N047.26.56.776 W121.59.26.251
                          N047.26.48.942 W122.40.20.554 N047.26.48.942 W122.40.05.408
                          N047.26.48.942 W122.40.20.554 N047.26.48.942 W122.40.20.554
                          N047.26.48.942 W122.39.39.715 N047.26.59.760 W122.39.47.288
                          N047.26.48.942 W122.40.46.247 N047.26.54.351 W122.40.38.674
                          N047.26.48.942 W122.41.01.257 N047.26.48.942 W122.40.46.247
                          N047.26.48.942 W122.40.05.408 N047.26.59.760 W122.39.57.836
                          N047.26.48.942 W122.36.11.871 N047.26.48.942 W122.36.04.298
                          N047.26.48.942 W122.35.23.459 N047.26.54.351 W122.35.15.886
                          N047.26.48.942 W122.35.31.032 N047.26.48.942 W122.35.23.459
                          N047.26.48.942 W122.39.24.570 N047.26.48.942 W122.39.39.715
                          N047.26.48.942 W122.37.55.455 N047.27.42.898 W122.37.55.455
                          N047.26.48.942 W122.36.04.298 N047.26.54.351 W122.35.56.725
                          N047.26.49.502 W122.04.38.705 N047.27.47.084 W122.04.38.705
                          N047.26.49.502 W122.04.52.797 N047.27.32.688 W122.04.52.797
                          N047.26.49.502 W122.05.33.104 N047.26.35.107 W122.05.22.951
                          N047.26.49.502 W122.01.40.203 N047.26.49.502 W122.01.35.202
                          N047.26.49.502 W122.01.35.202 N047.26.42.380 W122.01.35.202
                          N047.26.49.502 W122.03.58.398 N047.26.35.107 W122.04.08.399
                          N047.26.54.351 W122.37.29.762 N047.26.54.351 W122.37.33.413
                          N047.26.54.351 W122.37.29.762 N047.26.54.351 W122.37.29.762
                          N047.26.54.351 W122.37.33.413 N047.26.59.760 W122.37.33.413
                          N047.26.54.351 W122.40.38.674 N047.27.10.443 W122.40.38.674
                          N047.26.54.351 W122.41.08.830 N047.26.48.942 W122.41.01.257
                          N047.26.54.351 W122.35.15.886 N047.26.59.760 W122.35.12.100
                          N047.26.54.351 W122.35.38.605 N047.26.48.942 W122.35.31.032
                          N047.26.54.351 W122.36.19.443 N047.26.54.351 W122.36.19.443
                          N047.26.54.351 W122.35.56.725 N047.27.05.034 W122.35.52.939
                          N047.26.54.351 W122.36.19.443 N047.26.48.942 W122.36.11.871
                          N047.26.56.776 W122.00.06.557 N047.26.42.380 W122.00.01.557
                          N047.26.56.776 W121.59.26.251 N047.27.25.566 W121.59.26.251
                          N047.26.59.760 W122.39.47.288 N047.27.42.898 W122.39.47.288
                          N047.26.59.760 W122.39.16.997 N047.26.48.942 W122.39.24.570
                          N047.26.59.760 W122.40.28.127 N047.26.48.942 W122.40.20.554
                          N047.26.59.760 W122.39.57.836 N047.27.32.079 W122.39.57.836
                          N047.26.59.760 W122.35.12.100 N047.27.10.443 W122.35.12.100
                          N047.26.59.760 W122.35.42.391 N047.26.54.351 W122.35.38.605
                          N047.26.59.760 W122.37.29.762 N047.26.54.351 W122.37.29.762
                          N047.26.59.760 W122.37.33.413 N047.26.59.760 W122.37.29.762
                          N047.27.03.898 W122.05.47.196 N047.27.11.171 W122.05.57.197
                          N047.27.05.034 W122.36.23.230 N047.26.54.351 W122.36.19.443
                          N047.27.05.034 W122.35.52.939 N047.27.26.670 W122.35.52.939
                          N047.27.10.443 W122.40.38.674 N047.27.15.852 W122.40.46.247
                          N047.27.10.443 W122.35.12.100 N047.27.15.852 W122.35.15.886
                          N047.27.11.171 W122.02.09.448 N047.27.11.171 W122.02.49.755
                          N047.27.11.171 W122.05.57.197 N047.27.11.171 W122.06.17.351
                          N047.27.11.171 W122.06.17.351 N047.27.18.293 W122.06.27.503
                          N047.27.11.171 W122.01.35.202 N047.27.11.171 W122.01.35.202
                          N047.27.11.171 W122.01.35.202 N047.27.11.171 W122.01.40.203
                          N047.27.11.171 W122.01.40.203 N047.27.18.293 W122.01.40.203
                          N047.27.15.852 W122.37.55.455 N047.27.15.852 W122.38.25.611
                          N047.27.15.852 W122.40.46.247 N047.27.15.852 W122.41.01.257
                          N047.27.15.852 W122.41.01.257 N047.27.21.261 W122.41.08.830
                          N047.27.15.852 W122.37.33.413 N047.27.21.261 W122.37.33.413
                          N047.27.15.852 W122.35.15.886 N047.27.21.261 W122.35.23.459
                          N047.27.15.852 W122.37.29.762 N047.27.15.852 W122.37.29.762
                          N047.27.15.852 W122.37.29.762 N047.27.15.852 W122.37.33.413
                          N047.27.18.293 W122.06.27.503 N047.27.39.962 W122.06.27.503
                          N047.27.18.293 W122.01.35.202 N047.27.11.171 W122.01.35.202
                          N047.27.18.293 W122.01.40.203 N047.27.18.293 W122.01.35.202
                          N047.27.21.261 W122.37.29.762 N047.27.15.852 W122.37.29.762
                          N047.27.21.261 W122.41.08.830 N047.27.37.489 W122.41.08.830
                          N047.27.21.261 W122.37.33.413 N047.27.21.261 W122.37.29.762
                          N047.27.21.261 W122.35.23.459 N047.27.21.261 W122.35.31.032
                          N047.27.21.261 W122.35.31.032 N047.27.42.898 W122.35.15.886
                          N047.27.25.566 W122.00.06.557 N047.26.56.776 W122.00.06.557
                          N047.27.25.566 W121.59.26.251 N047.27.39.962 W121.59.31.251
                          N047.27.26.670 W122.36.23.230 N047.27.05.034 W122.36.23.230
                          N047.27.26.670 W122.35.52.939 N047.27.37.489 W122.35.56.725
                          N047.27.32.079 W122.40.28.127 N047.26.59.760 W122.40.28.127
                          N047.27.32.079 W122.39.57.836 N047.27.42.898 W122.40.05.408
                          N047.27.32.688 W122.05.33.104 N047.26.49.502 W122.05.33.104
                          N047.27.32.688 W122.04.52.797 N047.27.47.084 W122.05.02.798
                          N047.27.37.489 W122.41.08.830 N047.27.42.898 W122.41.01.257
                          N047.27.37.489 W122.36.19.443 N047.27.26.670 W122.36.23.230
                          N047.27.37.489 W122.35.56.725 N047.27.42.898 W122.36.04.298
                          N047.27.39.962 W122.06.27.503 N047.27.47.084 W122.06.17.351
                          N047.27.39.962 W122.00.01.557 N047.27.25.566 W122.00.06.557
                          N047.27.39.962 W121.59.31.251 N047.27.47.084 W121.59.41.404
                          N047.27.42.898 W122.40.05.408 N047.27.42.898 W122.40.20.554
                          N047.27.42.898 W122.39.16.997 N047.26.59.760 W122.39.16.997
                          N047.27.42.898 W122.40.20.554 N047.27.32.079 W122.40.28.127
                          N047.27.42.898 W122.40.46.247 N047.27.37.489 W122.40.38.674
                          N047.27.42.898 W122.41.01.257 N047.27.42.898 W122.40.46.247
                          N047.27.42.898 W122.38.51.304 N047.26.48.942 W122.38.51.304
                          N047.27.42.898 W122.36.04.298 N047.27.42.898 W122.36.11.871
                          N047.27.42.898 W122.35.15.886 N047.27.42.898 W122.35.38.605
                          N047.27.42.898 W122.36.11.871 N047.27.37.489 W122.36.19.443
                          N047.27.42.898 W122.38.36.158 N047.27.42.898 W122.39.06.449
                          N047.27.42.898 W122.38.25.611 N047.26.48.942 W122.38.25.611
                          N047.27.47.084 W122.05.02.798 N047.27.47.084 W122.05.22.951
                          N047.27.47.084 W122.03.58.398 N047.26.49.502 W122.03.58.398
                          N047.27.47.084 W122.05.22.951 N047.27.32.688 W122.05.33.104
                          N047.27.47.084 W122.05.57.197 N047.27.39.962 W122.05.47.196
                          N047.27.47.084 W122.06.17.351 N047.27.47.084 W122.05.57.197
                          N047.27.47.084 W122.03.24.001 N047.26.35.107 W122.03.24.001
                          N047.27.47.084 W121.59.41.404 N047.27.47.084 W121.59.51.404
                          N047.27.47.084 W121.58.31.851 N047.27.47.084 W121.59.12.158
                          N047.27.47.084 W121.59.51.404 N047.27.39.962 W122.00.01.557
                          N047.27.47.084 W122.03.03.847 N047.27.47.084 W122.03.44.154
                          N047.27.47.084 W122.02.49.755 N047.26.35.107 W122.02.49.755
                          N047.28.30.903 W122.40.20.554 N047.28.30.903 W122.40.20.554
                          N047.28.30.903 W122.39.16.997 N047.28.57.949 W122.39.24.570
                          N047.28.30.903 W122.40.20.554 N047.28.30.903 W122.40.05.408
                          N047.28.30.903 W122.40.38.674 N047.29.24.859 W122.41.08.830
                          N047.28.30.903 W122.40.05.408 N047.28.41.722 W122.39.57.836
                          N047.28.30.903 W122.35.42.391 N047.28.41.722 W122.35.42.391
                          N047.28.30.903 W122.35.12.100 N047.28.30.903 W122.35.42.391
                          N047.28.30.903 W122.36.11.871 N047.28.30.903 W122.36.04.298
                          N047.28.30.903 W122.37.55.455 N047.29.24.859 W122.37.55.455
                          N047.28.30.903 W122.36.04.298 N047.28.36.313 W122.35.56.725
                          N047.28.35.119 W122.05.22.951 N047.28.35.119 W122.05.02.798
                          N047.28.35.119 W122.05.22.951 N047.28.35.119 W122.05.22.951
                          N047.28.35.119 W122.05.47.196 N047.29.47.095 W122.06.27.503
                          N047.28.35.119 W122.05.02.798 N047.28.49.514 W122.04.52.797
                          N047.28.35.119 W121.58.41.852 N047.28.49.514 W121.58.31.851
                          N047.28.35.119 W121.59.02.006 N047.28.35.119 W121.58.41.852
                          N047.28.35.119 W122.03.58.398 N047.29.11.183 W122.04.08.399
                          N047.28.35.119 W122.02.09.448 N047.29.47.095 W122.02.09.448
                          N047.28.36.313 W122.37.29.762 N047.28.36.313 W122.37.29.762
                          N047.28.36.313 W122.37.29.762 N047.28.36.313 W122.37.33.413
                          N047.28.36.313 W122.37.33.413 N047.28.41.722 W122.37.33.413
                          N047.28.36.313 W122.36.19.443 N047.28.36.313 W122.36.19.443
                          N047.28.36.313 W122.36.19.443 N047.28.30.903 W122.36.11.871
                          N047.28.36.313 W122.35.56.725 N047.28.47.131 W122.35.52.939
