; Bodies of water (2021-04-07)
      N048.34.24.331 W118.06.21.638
      N048.34.27.160 W118.05.52.084
      N048.34.14.691 W118.05.03.497
      N048.34.09.925 W118.06.54.075
      N048.33.30.388 W118.07.15.168
      N048.33.24.277 W118.07.47.276
      N048.32.28.329 W118.08.21.196
      N048.32.01.454 W118.08.05.019
      N048.29.28.675 W118.09.53.509
      N048.29.14.022 W118.10.11.197
      N048.29.03.159 W118.10.58.109
      N048.27.50.966 W118.11.54.578
      N048.26.09.699 W118.12.00.648
      N048.25.25.479 W118.10.58.603
      N048.20.50.121 W118.09.45.352
      N048.18.48.035 W118.08.56.023
      N048.18.10.187 W118.09.16.952
      N048.17.41.403 W118.08.43.801
      N048.17.06.384 W118.08.35.314
      N048.16.59.463 W118.08.18.477
      N048.15.39.413 W118.07.59.416
      N048.15.11.247 W118.08.02.904
      N048.13.46.186 W118.09.19.204
      N048.13.05.962 W118.10.36.301
      N048.12.34.967 W118.11.09.122
      N048.11.43.331 W118.10.58.768
      N048.11.32.001 W118.11.16.236
      N048.10.52.341 W118.11.27.415
      N048.09.20.564 W118.10.58.987
      N048.08.54.238 W118.11.12.116
      N048.08.32.952 W118.11.29.941
      N048.07.38.693 W118.13.43.425
      N048.07.14.125 W118.14.03.777
      N048.06.49.254 W118.14.04.629
      N048.06.42.223 W118.13.40.541
      N048.06.32.583 W118.14.00.344
      N048.05.05.873 W118.13.34.169
      N048.04.55.477 W118.13.07.747
      N048.04.34.397 W118.13.37.712
      N048.03.13.730 W118.14.17.043
      N048.03.05.916 W118.14.46.514
      N048.02.18.647 W118.15.39.249
      N048.02.12.948 W118.16.37.806
      N048.02.38.395 W118.20.45.108
      N048.02.30.774 W118.21.29.136
      N048.02.11.657 W118.22.20.854
      N048.01.51.909 W118.22.31.236
      N048.01.20.145 W118.22.15.251
      N048.00.49.013 W118.22.40.574
      N048.00.10.725 W118.22.32.115
      N047.59.12.058 W118.21.52.729
      N047.58.58.051 W118.21.04.554
      N047.58.01.306 W118.20.42.142
      N047.57.59.466 W118.20.30.029
      N047.57.13.310 W118.20.48.569
      N047.56.41.587 W118.20.35.056
      N047.55.27.072 W118.20.42.389
      N047.53.53.427 W118.19.52.099
      N047.54.03.219 W118.19.42.074
      N047.54.02.848 W118.19.17.822
      N047.54.32.443 W118.19.02.249
      N047.56.04.275 W118.16.11.576
      N047.56.10.386 W118.15.39.798
      N047.56.44.526 W118.14.57.336
      N047.56.54.716 W118.13.29.500
      N047.56.37.838 W118.11.31.068
      N047.55.31.096 W118.11.06.733
      N047.54.49.087 W118.10.34.241
      N047.54.09.948 W118.09.34.969
      N047.53.28.145 W118.09.14.617
      N047.53.20.702 W118.08.26.360
      N047.52.12.092 W118.07.50.023
      N047.51.44.970 W118.07.14.619
      N047.50.49.791 W118.06.47.510
      N047.50.08.441 W118.06.53.882
      N047.49.43.777 W118.05.29.919
      N047.49.15.624 W118.05.30.963
      N047.48.01.288 W118.04.11.312
      N047.47.55.726 W118.03.37.584
      N047.48.04.337 W118.02.22.136
