SEA TEXT DIAGRAM          N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.26.00.607 W122.18.10.675 N047.26.00.503 W122.18.10.571
                          N047.26.00.607 W122.18.09.333 N047.26.00.679 W122.18.09.277
                          N047.26.00.615 W122.18.13.262 N047.26.00.759 W122.18.13.198
                          N047.26.00.631 W122.18.11.273 N047.26.00.735 W122.18.11.234
                          N047.26.00.639 W122.18.12.647 N047.26.00.551 W122.18.12.567
                          N047.26.00.639 W122.18.14.628 N047.26.00.535 W122.18.14.516
                          N047.26.00.679 W122.18.09.277 N047.26.00.782 W122.18.09.261
                          N047.26.00.687 W122.18.10.714 N047.26.00.607 W122.18.10.675
                          N047.26.00.735 W122.18.11.234 N047.26.00.838 W122.18.11.210
                          N047.26.00.743 W122.18.12.703 N047.26.00.639 W122.18.12.647
                          N047.26.00.759 W122.18.10.738 N047.26.00.687 W122.18.10.714
                          N047.26.00.759 W122.18.13.198 N047.26.00.894 W122.18.13.198
                          N047.26.00.782 W122.18.09.261 N047.26.00.870 W122.18.09.245
                          N047.26.00.782 W122.18.14.675 N047.26.00.639 W122.18.14.628
                          N047.26.00.838 W122.18.10.746 N047.26.00.759 W122.18.10.738
                          N047.26.00.838 W122.18.12.711 N047.26.00.743 W122.18.12.703
                          N047.26.00.838 W122.18.11.210 N047.26.00.934 W122.18.11.210
                          N047.26.00.870 W122.18.09.245 N047.26.00.958 W122.18.09.261
                          N047.26.00.894 W122.18.13.198 N047.26.01.054 W122.18.13.230
                          N047.26.00.926 W122.18.14.659 N047.26.00.782 W122.18.14.675
                          N047.26.00.934 W122.18.10.746 N047.26.00.838 W122.18.10.746
                          N047.26.00.934 W122.18.11.210 N047.26.01.030 W122.18.11.242
                          N047.26.00.950 W122.18.12.703 N047.26.00.838 W122.18.12.711
                          N047.26.00.958 W122.18.09.261 N047.26.01.046 W122.18.09.293
                          N047.26.01.006 W122.18.10.730 N047.26.00.934 W122.18.10.746
                          N047.26.01.030 W122.18.11.242 N047.26.01.126 W122.18.11.289
                          N047.26.01.046 W122.18.09.293 N047.26.01.134 W122.18.09.357
                          N047.26.01.054 W122.18.12.671 N047.26.00.950 W122.18.12.703
                          N047.26.01.054 W122.18.13.230 N047.26.01.166 W122.18.13.310
                          N047.26.01.070 W122.18.10.706 N047.26.01.006 W122.18.10.730
                          N047.26.01.086 W122.18.14.612 N047.26.00.926 W122.18.14.659
                          N047.26.01.118 W122.18.10.659 N047.26.01.070 W122.18.10.706
                          N047.26.01.126 W122.18.11.289 N047.26.01.214 W122.18.11.385
                          N047.26.01.134 W122.18.09.357 N047.26.01.206 W122.18.09.453
                          N047.26.01.150 W122.18.12.599 N047.26.01.054 W122.18.12.671
                          N047.26.01.166 W122.18.13.310 N047.26.01.262 W122.18.13.430
                          N047.26.01.174 W122.18.10.603 N047.26.01.118 W122.18.10.659
                          N047.26.01.182 W122.18.14.524 N047.26.01.086 W122.18.14.612
                          N047.26.01.206 W122.18.09.453 N047.26.01.262 W122.18.09.525
                          N047.26.01.214 W122.18.11.385 N047.26.01.294 W122.18.11.513
                          N047.26.01.230 W122.18.12.503 N047.26.01.150 W122.18.12.599
                          N047.26.01.238 W122.18.10.515 N047.26.01.174 W122.18.10.603
                          N047.26.01.262 W122.18.09.525 N047.26.01.310 W122.18.09.628
                          N047.26.01.262 W122.18.13.430 N047.26.01.357 W122.18.13.629
                          N047.26.01.278 W122.18.10.443 N047.26.01.238 W122.18.10.515
                          N047.26.01.278 W122.18.14.404 N047.26.01.182 W122.18.14.524
                          N047.26.01.294 W122.18.12.391 N047.26.01.230 W122.18.12.503
                          N047.26.01.294 W122.18.11.513 N047.26.01.341 W122.18.11.649
                          N047.26.01.310 W122.18.09.628 N047.26.01.341 W122.18.09.724
                          N047.26.01.318 W122.18.10.355 N047.26.01.278 W122.18.10.443
                          N047.26.01.341 W122.18.12.264 N047.26.01.294 W122.18.12.391
                          N047.26.01.341 W122.18.09.724 N047.26.01.373 W122.18.09.852
                          N047.26.01.341 W122.18.14.260 N047.26.01.278 W122.18.14.404
                          N047.26.01.341 W122.18.11.649 N047.26.01.373 W122.18.11.801
                          N047.26.01.357 W122.18.10.235 N047.26.01.318 W122.18.10.355
                          N047.26.01.357 W122.18.13.629 N047.26.01.389 W122.18.13.869
                          N047.26.01.373 W122.18.09.852 N047.26.01.381 W122.18.09.988
                          N047.26.01.373 W122.18.10.108 N047.26.01.357 W122.18.10.235
                          N047.26.01.373 W122.18.11.801 N047.26.01.389 W122.18.11.992
                          N047.26.01.373 W122.18.12.152 N047.26.01.341 W122.18.12.264
                          N047.26.01.381 W122.18.09.988 N047.26.01.373 W122.18.10.108
                          N047.26.01.381 W122.18.14.061 N047.26.01.341 W122.18.14.260
                          N047.26.01.389 W122.18.11.992 N047.26.01.373 W122.18.12.152
                          N047.26.01.389 W122.18.13.869 N047.26.01.381 W122.18.14.061
                          N047.26.01.669 W122.18.10.882 N047.26.01.701 W122.18.10.683
                          N047.26.01.685 W122.18.11.090 N047.26.01.669 W122.18.10.882
                          N047.26.01.693 W122.18.13.486 N047.26.01.693 W122.18.13.238
                          N047.26.01.693 W122.18.13.238 N047.26.01.725 W122.18.12.982
                          N047.26.01.701 W122.18.10.683 N047.26.01.757 W122.18.10.491
