- S46 LABELS              N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N046.58.16.667 W122.54.28.128 N046.58.16.683 W122.54.28.235
                          N046.58.16.667 W122.54.28.128 N046.58.16.748 W122.54.27.951
                          N046.58.16.683 W122.54.28.235 N046.58.16.602 W122.54.28.412
                          N046.58.16.746 W122.53.40.508 N046.58.16.744 W122.53.40.314
                          N046.58.16.748 W122.54.27.951 N046.58.16.800 W122.54.27.944
                          N046.58.16.800 W122.54.27.944 N046.58.16.923 W122.54.28.035
                          N046.58.16.814 W122.54.28.379 N046.58.16.683 W122.54.28.235
                          N046.58.16.867 W122.54.28.370 N046.58.16.814 W122.54.28.379
                          N046.58.16.907 W122.53.40.508 N046.58.16.583 W122.53.40.508
                          N046.58.16.907 W122.53.40.249 N046.58.16.907 W122.53.40.508
                          N046.58.16.923 W122.54.28.035 N046.58.16.958 W122.54.28.247
                          N046.58.16.958 W122.54.28.247 N046.58.16.867 W122.54.28.370
                          N046.58.17.498 W122.53.52.726 N046.58.17.498 W122.53.52.566
                          N046.58.17.629 W122.53.52.726 N046.58.17.305 W122.53.52.726
                          N046.58.17.629 W122.53.52.468 N046.58.17.629 W122.53.52.726
                          N046.58.21.444 W122.53.47.216 N046.58.21.444 W122.53.46.957
                          N046.58.21.607 W122.53.47.216 N046.58.21.605 W122.53.47.022
                          N046.58.21.768 W122.53.47.216 N046.58.21.444 W122.53.47.216
                          N046.58.21.768 W122.53.46.957 N046.58.21.768 W122.53.47.216
                          N046.58.23.578 W122.54.03.014 N046.58.23.643 W122.54.02.949
                          N046.58.23.578 W122.54.03.145 N046.58.23.578 W122.54.03.014
                          N046.58.23.643 W122.54.03.210 N046.58.23.578 W122.54.03.145
                          N046.58.23.836 W122.54.03.208 N046.58.23.643 W122.54.03.210
                          N046.58.23.836 W122.54.02.949 N046.58.23.901 W122.54.03.014
                          N046.58.23.901 W122.54.03.143 N046.58.23.836 W122.54.03.208
                          N046.58.23.901 W122.54.03.014 N046.58.23.901 W122.54.03.143
                          N046.58.24.605 W122.54.28.077 N046.58.25.001 W122.54.28.153
                          N046.58.24.605 W122.54.27.918 N046.58.25.001 W122.54.27.995
                          N046.58.25.001 W122.54.27.995 N046.58.24.605 W122.54.28.077
                          N046.58.25.001 W122.54.27.837 N046.58.24.605 W122.54.27.918
                          N046.58.28.986 W122.54.06.592 N046.58.29.051 W122.54.06.527
                          N046.58.28.986 W122.54.06.720 N046.58.28.986 W122.54.06.592
                          N046.58.29.051 W122.54.06.785 N046.58.28.986 W122.54.06.720
                          N046.58.29.244 W122.54.06.525 N046.58.29.310 W122.54.06.590
                          N046.58.29.247 W122.54.06.785 N046.58.29.051 W122.54.06.785
                          N046.58.29.310 W122.54.06.720 N046.58.29.247 W122.54.06.785
                          N046.58.29.310 W122.54.06.590 N046.58.29.310 W122.54.06.720
                          N046.58.31.343 W122.53.57.803 N046.58.31.343 W122.53.57.544
                          N046.58.31.506 W122.53.57.803 N046.58.31.504 W122.53.57.607
                          N046.58.31.667 W122.53.57.803 N046.58.31.343 W122.53.57.803
                          N046.58.31.667 W122.53.57.542 N046.58.31.667 W122.53.57.803
                          N046.58.32.792 W122.54.03.689 N046.58.32.855 W122.54.03.624
                          N046.58.32.792 W122.54.03.882 N046.58.32.792 W122.54.03.689
                          N046.58.32.792 W122.54.03.882 N046.58.32.792 W122.54.03.882
                          N046.58.32.855 W122.54.03.624 N046.58.33.050 W122.54.03.624
                          N046.58.33.050 W122.54.03.624 N046.58.33.116 W122.54.03.689
                          N046.58.33.116 W122.54.03.882 N046.58.32.792 W122.54.03.882
                          N046.58.33.116 W122.54.03.689 N046.58.33.116 W122.54.03.882
                          N046.58.34.213 W122.54.07.204 N046.58.34.250 W122.54.07.124
                          N046.58.34.213 W122.54.07.441 N046.58.34.213 W122.54.07.204
                          N046.58.34.250 W122.54.07.124 N046.58.34.408 W122.54.07.124
                          N046.58.34.408 W122.54.07.124 N046.58.34.450 W122.54.07.204
                          N046.58.34.450 W122.54.07.204 N046.58.34.490 W122.54.07.164
                          N046.58.34.450 W122.54.07.441 N046.58.34.450 W122.54.07.204
                          N046.58.34.490 W122.54.07.164 N046.58.34.569 W122.54.07.164
                          N046.58.34.569 W122.54.07.164 N046.58.34.609 W122.54.07.204
                          N046.58.34.609 W122.54.07.441 N046.58.34.213 W122.54.07.441
                          N046.58.34.609 W122.54.07.204 N046.58.34.609 W122.54.07.441
                          N046.58.35.103 W122.54.28.017 N046.58.35.498 W122.54.28.096
                          N046.58.35.103 W122.54.27.859 N046.58.35.498 W122.54.27.938
                          N046.58.35.498 W122.54.27.938 N046.58.35.103 W122.54.28.017
                          N046.58.35.498 W122.54.27.780 N046.58.35.103 W122.54.27.859
                          N046.58.36.365 W122.54.20.417 N046.58.36.405 W122.54.20.338
                          N046.58.36.365 W122.54.20.655 N046.58.36.365 W122.54.20.417
                          N046.58.36.405 W122.54.20.338 N046.58.36.563 W122.54.20.338
                          N046.58.36.563 W122.54.20.338 N046.58.36.603 W122.54.20.417
                          N046.58.36.603 W122.54.20.417 N046.58.36.642 W122.54.20.378
                          N046.58.36.603 W122.54.20.655 N046.58.36.603 W122.54.20.417
                          N046.58.36.642 W122.54.20.378 N046.58.36.721 W122.54.20.378
                          N046.58.36.721 W122.54.20.378 N046.58.36.761 W122.54.20.417
                          N046.58.36.761 W122.54.20.655 N046.58.36.365 W122.54.20.655
                          N046.58.36.761 W122.54.20.417 N046.58.36.761 W122.54.20.655
                          N046.58.40.411 W122.54.06.954 N046.58.40.902 W122.54.06.605
                          N046.58.40.900 W122.54.07.644 N046.58.41.035 W122.54.07.460
                          N046.58.40.902 W122.54.06.605 N046.58.40.967 W122.54.07.031
                          N046.58.41.035 W122.54.07.460 N046.58.40.502 W122.54.07.541
                          N047.04.15.620 W122.34.42.277 N047.04.15.686 W122.34.42.212
                          N047.04.15.623 W122.34.42.470 N047.04.15.620 W122.34.42.277
                          N047.04.15.623 W122.34.42.470 N047.04.15.623 W122.34.42.470
                          N047.04.15.686 W122.34.42.212 N047.04.15.881 W122.34.42.212
                          N047.04.15.872 W122.34.41.448 N047.04.15.888 W122.34.41.341
                          N047.04.15.881 W122.34.42.212 N047.04.15.946 W122.34.42.275
                          N047.04.15.888 W122.34.41.341 N047.04.15.956 W122.34.41.241
                          N047.04.15.912 W122.34.41.562 N047.04.15.872 W122.34.41.448
                          N047.04.15.946 W122.34.42.470 N047.04.15.623 W122.34.42.470
                          N047.04.15.946 W122.34.42.275 N047.04.15.946 W122.34.42.470
                          N047.04.15.956 W122.34.41.241 N047.04.16.016 W122.34.41.194
                          N047.04.15.958 W122.34.41.622 N047.04.15.912 W122.34.41.562
                          N047.04.15.960 W122.34.40.805 N047.04.15.974 W122.34.40.698
                          N047.04.15.974 W122.34.40.698 N047.04.16.042 W122.34.40.598
