                          N041.12.00.000 W120.17.60.000 N041.02.60.000 W120.40.00.000
                          N041.02.60.000 W120.40.00.000 N041.25.00.000 W120.58.60.000
                          N042.40.00.000 W120.18.04.000 N042.40.00.000 W119.10.04.000
                          N042.40.00.000 W119.10.04.000 N042.25.60.000 W119.13.34.000
                          N042.25.60.000 W119.13.34.000 N042.25.60.000 W120.13.06.000
                          N042.25.60.000 W120.13.06.000 N042.40.00.000 W120.18.04.000
                          N042.25.60.000 W120.13.06.000 N042.25.60.000 W119.13.34.000
                          N042.25.60.000 W119.13.34.000 N041.30.00.000 W119.27.04.000
                          N041.30.00.000 W119.27.04.000 N041.30.00.000 W119.55.04.000
                          N041.30.00.000 W119.55.04.000 N042.25.60.000 W120.13.06.000
                          N043.55.59.000 W120.44.04.000 N043.57.05.000 W120.26.24.000
                          N043.57.05.000 W120.26.24.000 N043.37.60.000 W119.34.04.000
                          N043.37.60.000 W119.34.04.000 N042.46.00.000 W119.12.27.000
                          N042.46.00.000 W119.12.27.000 N042.46.00.000 W120.20.01.000
                          N042.46.00.000 W120.20.01.000 N043.55.59.000 W120.44.04.000
                          N043.55.59.000 W120.44.04.000 N043.57.05.000 W120.26.24.000
                          N043.57.05.000 W120.26.24.000 N043.50.30.000 W120.07.48.000
                          N043.50.30.000 W120.07.48.000 N043.21.00.000 W120.31.48.000
                          N043.21.00.000 W120.31.48.000 N043.55.59.000 W120.44.04.000
                          N043.21.00.000 W120.31.48.000 N043.50.30.000 W120.07.48.000
                          N043.50.30.000 W120.07.48.000 N043.37.60.000 W119.34.00.000
                          N043.37.60.000 W119.34.00.000 N042.40.00.000 W119.10.04.000
                          N042.40.00.000 W119.10.04.000 N042.40.00.000 W120.18.04.000
                          N042.40.00.000 W120.18.04.000 N043.21.00.000 W120.31.48.000
                          N049.00.00.000 W119.45.04.000 N049.00.00.000 W119.20.04.000
                          N049.00.00.000 W119.20.04.000 N049.00.00.000 W119.00.04.000
                          N049.00.00.000 W119.00.04.000 N048.03.30.000 W119.00.04.000
                          N048.03.30.000 W119.00.04.000 N048.04.60.000 W119.20.04.000
                          N048.04.60.000 W119.20.04.000 N048.06.30.000 W119.45.04.000
                          N048.06.30.000 W119.45.04.000 N048.08.29.000 W120.27.34.000
                          N048.08.29.000 W120.27.34.000 N048.54.40.000 W120.03.04.000
                          N048.54.40.000 W120.03.04.000 N048.54.40.000 W119.45.04.000
                          N048.54.40.000 W119.45.04.000 N049.00.00.000 W119.45.04.000
                          N048.08.29.000 W120.27.34.000 N048.54.40.000 W120.03.04.000
                          N048.54.40.000 W120.03.04.000 N048.54.40.000 W119.45.04.000
                          N048.54.40.000 W119.45.04.000 N048.06.30.000 W119.45.04.000
                          N048.06.30.000 W119.45.04.000 N048.08.29.000 W120.27.34.000
                          N048.04.60.000 W119.20.04.000 N049.00.00.000 W119.20.04.000
                          N049.00.00.000 W119.20.04.000 N049.00.00.000 W119.00.04.000
                          N049.00.00.000 W119.00.04.000 N048.03.30.000 W119.00.04.000
                          N048.03.30.000 W119.00.04.000 N048.04.60.000 W119.20.04.000
                          N047.41.29.000 W124.33.05.000 N047.41.29.000 W123.43.35.000
                          N047.41.29.000 W123.43.35.000 N047.37.59.000 W123.40.05.000
                          N047.37.59.000 W123.40.05.000 N047.14.59.000 W123.40.05.000
                          N047.14.59.000 W123.40.05.000 N047.05.59.000 W124.14.53.000
                          N047.05.59.000 W124.14.53.000 N047.09.52.690 W124.16.19.780
                          N047.09.52.690 W124.16.19.780 N047.16.22.540 W124.18.18.270
                          N047.16.22.540 W124.18.18.270 N047.17.19.880 W124.20.39.690
                          N047.17.19.880 W124.20.39.690 N047.20.04.230 W124.21.59.950
                          N047.20.04.230 W124.21.59.950 N047.24.31.780 W124.23.54.620
                          N047.24.31.780 W124.23.54.620 N047.30.04.300 W124.24.29.010
                          N047.30.04.300 W124.24.29.010 N047.35.59.760 W124.26.16.030
                          N047.35.59.760 W124.26.16.030 N047.37.50.600 W124.28.22.160
                          N047.37.50.600 W124.28.22.160 N047.39.37.620 W124.31.40.910
                          N047.39.37.620 W124.31.40.910 N047.41.29.000 W124.33.05.000
                          N048.08.59.000 W124.48.05.000 N048.08.59.000 W124.30.35.000
                          N048.08.59.000 W124.30.35.000 N047.59.59.000 W124.07.05.000
                          N047.59.59.000 W124.07.05.000 N047.41.29.000 W123.43.35.000
