-ZLC Sector Splits        N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N046.47.49.251 W114.43.48.498 N046.48.05.486 W114.44.12.214 SECTOR
                          N046.49.33.240 W114.44.12.214 N046.49.49.466 W114.43.48.498 SECTOR
                          N046.49.48.276 W114.41.05.164 N046.50.18.080 W114.40.21.597 SECTOR
                          N046.50.18.080 W114.40.21.597 N046.50.18.080 W114.38.54.465 SECTOR
                          N046.50.18.080 W114.38.54.465 N046.49.48.276 W114.38.10.898 SECTOR
                          N046.49.48.276 W114.38.10.898 N046.49.18.467 W114.38.10.898 SECTOR
                          N046.49.18.467 W114.38.10.898 N046.48.37.267 W114.39.11.101 SECTOR
                          N046.49.00.039 W114.40.04.961 N046.48.18.835 W114.41.05.164 SECTOR
                          N046.48.18.835 W114.41.05.164 N046.47.19.186 W114.41.05.164 SECTOR
                          N046.49.32.178 W114.40.41.636 N046.49.55.318 W114.40.07.815 SECTOR
                          N046.49.55.318 W114.40.07.815 N046.49.55.318 W114.39.08.247 SECTOR
                          N046.49.55.318 W114.39.08.247 N046.49.38.846 W114.38.44.172 SECTOR
                          N046.49.38.846 W114.38.44.172 N046.49.27.898 W114.38.44.172 SECTOR
                          N046.47.41.966 W114.40.31.890 N046.47.41.966 W114.38.10.898 SECTOR
                          N046.49.32.178 W114.40.41.636 N046.49.48.276 W114.41.05.164 SECTOR
                          N046.47.41.966 W114.38.10.898 N046.47.19.186 W114.38.10.898 SECTOR
                          N046.48.09.401 W114.40.31.890 N046.47.41.966 W114.40.31.890 SECTOR
                          N046.48.37.267 W114.39.51.178 N046.48.09.401 W114.40.31.890 SECTOR
                          N046.49.00.039 W114.39.24.884 N046.49.00.039 W114.40.04.961 SECTOR
                          N046.48.37.267 W114.39.11.101 N046.48.37.267 W114.39.51.178 SECTOR
                          N046.49.27.898 W114.38.44.172 N046.49.00.039 W114.39.24.884 SECTOR
                          N046.47.19.186 W114.41.05.164 N046.47.19.186 W114.38.10.898 SECTOR
                          N046.47.19.186 W114.36.32.887 N046.47.49.013 W114.37.16.453 SECTOR
                          N046.47.49.013 W114.37.16.453 N046.49.48.276 W114.37.16.453 SECTOR
                          N046.49.48.276 W114.37.16.453 N046.50.18.080 W114.36.32.887 SECTOR
                          N046.50.18.080 W114.36.32.887 N046.50.18.080 W114.35.49.321 SECTOR
                          N046.50.18.080 W114.35.49.321 N046.49.48.276 W114.35.05.754 SECTOR
                          N046.49.48.276 W114.35.05.754 N046.47.49.013 W114.35.05.754 SECTOR
                          N046.47.49.013 W114.35.05.754 N046.47.19.186 W114.35.49.321 SECTOR
                          N046.47.19.186 W114.35.49.321 N046.47.19.186 W114.36.32.887 SECTOR
