                          N040.56.41.221 W124.11.05.477 N040.56.44.866 W124.11.08.204 classEsfc
                          N040.56.44.866 W124.11.08.204 N040.56.48.547 W124.11.10.847 classEsfc
                          N040.56.48.547 W124.11.10.847 N040.56.52.262 W124.11.13.406 classEsfc
                          N040.56.52.262 W124.11.13.406 N040.56.56.010 W124.11.15.878 classEsfc
                          N040.56.56.010 W124.11.15.878 N040.56.59.791 W124.11.18.264 classEsfc
                          N040.56.59.791 W124.11.18.264 N040.57.03.602 W124.11.20.562 classEsfc
						  N040.57.03.602 W124.11.20.562 N040.57.07.444 W124.11.22.773 classEsfc
						  N040.57.07.444 W124.11.22.773 N040.57.11.314 W124.11.24.895 classEsfc
                          N040.57.11.314 W124.11.24.895 N040.57.15.211 W124.11.26.927 classEsfc
                          N040.57.15.211 W124.11.26.927 N040.57.19.135 W124.11.28.870 classEsfc
                          N040.57.19.135 W124.11.28.870 N040.57.23.084 W124.11.30.722 classEsfc
                          N040.57.23.084 W124.11.30.722 N040.57.27.057 W124.11.32.483 classEsfc
                          N040.57.27.057 W124.11.32.483 N040.57.31.052 W124.11.34.152 classEsfc
                          N040.57.31.052 W124.11.34.152 N040.57.35.069 W124.11.35.729 classEsfc
                          N040.57.35.069 W124.11.35.729 N040.57.39.106 W124.11.37.213 classEsfc
                          N040.57.39.106 W124.11.37.213 N040.57.43.162 W124.11.38.604 classEsfc
                          N040.57.43.162 W124.11.38.604 N040.57.47.236 W124.11.39.902 classEsfc
                          N040.57.47.236 W124.11.39.902 N040.57.51.327 W124.11.41.106 classEsfc
                          N040.57.51.327 W124.11.41.106 N040.57.55.432 W124.11.42.215 classEsfc
                          N040.57.55.432 W124.11.42.215 N040.57.59.552 W124.11.43.230 classEsfc
                          N040.57.59.552 W124.11.43.230 N040.58.03.685 W124.11.44.150 classEsfc
                          N040.58.03.685 W124.11.44.150 N040.58.07.829 W124.11.44.974 classEsfc
                          N040.58.07.829 W124.11.44.974 N040.58.11.984 W124.11.45.703 classEsfc
                          N040.58.11.984 W124.11.45.703 N040.58.16.147 W124.11.46.337 classEsfc
                          N040.58.16.147 W124.11.46.337 N040.58.20.318 W124.11.46.874 classEsfc
                          N040.58.20.318 W124.11.46.874 N040.58.24.496 W124.11.47.315 classEsfc
                          N040.58.24.496 W124.11.47.315 N040.58.28.679 W124.11.47.660 classEsfc
                          N040.58.28.679 W124.11.47.660 N040.58.32.865 W124.11.47.909 classEsfc
                          N040.58.32.865 W124.11.47.909 N040.58.37.055 W124.11.48.061 classEsfc
                          N040.58.37.055 W124.11.48.061 N040.58.41.246 W124.11.48.117 classEsfc
                          N040.58.41.246 W124.11.48.117 N040.58.45.437 W124.11.48.076 classEsfc
                          N040.58.45.437 W124.11.48.076 N040.58.49.626 W124.11.47.939 classEsfc
                          N040.58.49.626 W124.11.47.939 N040.58.53.814 W124.11.47.705 classEsfc
                          N040.58.53.814 W124.11.47.705 N040.58.57.997 W124.11.47.375 classEsfc
                          N040.58.57.997 W124.11.47.375 N040.59.02.176 W124.11.46.949 classEsfc
                          N040.59.02.176 W124.11.46.949 N040.59.06.348 W124.11.46.426 classEsfc
                          N040.59.06.348 W124.11.46.426 N040.59.10.513 W124.11.45.807 classEsfc
                          N040.59.10.513 W124.11.45.807 N040.59.14.669 W124.11.45.093 classEsfc
                          N040.59.14.669 W124.11.45.093 N040.59.18.814 W124.11.44.283 classEsfc
                          N040.59.18.814 W124.11.44.283 N040.59.22.949 W124.11.43.377 classEsfc
                          N040.59.22.949 W124.11.43.377 N040.59.27.071 W124.11.42.377 classEsfc
                          N040.59.27.071 W124.11.42.377 N040.59.31.179 W124.11.41.281 classEsfc
                          N040.59.31.179 W124.11.41.281 N040.59.35.272 W124.11.40.091 classEsfc
                          N040.59.35.272 W124.11.40.091 N040.59.39.348 W124.11.38.807 classEsfc
                          N040.59.39.348 W124.11.38.807 N040.59.43.407 W124.11.37.430 classEsfc
                          N040.59.43.407 W124.11.37.430 N040.59.47.447 W124.11.35.959 classEsfc
                          N040.59.47.447 W124.11.35.959 N040.59.51.467 W124.11.34.395 classEsfc
                          N040.59.51.467 W124.11.34.395 N040.59.55.466 W124.11.32.738 classEsfc
                          N040.59.55.466 W124.11.32.738 N040.59.59.442 W124.11.30.990 classEsfc
                          N040.59.59.442 W124.11.30.990 N041.00.03.394 W124.11.29.150 classEsfc
                          N041.00.03.394 W124.11.29.150 N041.00.07.322 W124.11.27.220 classEsfc
