BFI LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.31.23.438 W122.17.43.991 N047.31.23.517 W122.17.44.084
                          N047.31.23.480 W122.17.44.303 N047.31.23.386 W122.17.44.382
                          N047.31.23.517 W122.17.44.084 N047.31.23.521 W122.17.44.205
                          N047.31.23.521 W122.17.44.205 N047.31.23.480 W122.17.44.303
                          N047.31.25.543 W122.17.55.479 N047.31.25.594 W122.17.55.371
                          N047.31.25.543 W122.17.55.800 N047.31.25.543 W122.17.55.479
                          N047.31.25.594 W122.17.55.371 N047.31.25.813 W122.17.55.371
                          N047.31.25.813 W122.17.55.371 N047.31.25.865 W122.17.55.479
                          N047.31.25.865 W122.17.55.479 N047.31.25.920 W122.17.55.423
                          N047.31.25.865 W122.17.55.800 N047.31.25.865 W122.17.55.479
                          N047.31.25.920 W122.17.55.423 N047.31.26.028 W122.17.55.423
                          N047.31.26.028 W122.17.55.423 N047.31.26.084 W122.17.55.479
                          N047.31.26.084 W122.17.55.800 N047.31.25.543 W122.17.55.800
                          N047.31.26.084 W122.17.55.479 N047.31.26.084 W122.17.55.800
                          N047.31.27.504 W122.18.00.449 N047.31.27.635 W122.18.00.151
                          N047.31.27.635 W122.18.00.151 N047.31.27.723 W122.18.00.072
                          N047.31.27.723 W122.18.00.072 N047.31.27.924 W122.18.00.156
                          N047.31.27.802 W122.18.00.575 N047.31.27.933 W122.18.00.277
                          N047.31.27.802 W122.17.59.750 N047.31.27.886 W122.17.59.555
                          N047.31.27.858 W122.17.59.895 N047.31.27.802 W122.17.59.750
                          N047.31.27.886 W122.17.59.555 N047.31.28.031 W122.17.59.499
                          N047.31.27.924 W122.18.00.156 N047.31.27.933 W122.18.00.277
                          N047.31.27.933 W122.18.00.277 N047.31.28.003 W122.18.00.249
                          N047.31.28.003 W122.18.00.659 N047.31.27.504 W122.18.00.449
                          N047.31.28.003 W122.18.00.249 N047.31.28.101 W122.18.00.291
                          N047.31.28.031 W122.17.59.499 N047.31.28.129 W122.17.59.541
                          N047.31.28.101 W122.18.00.291 N047.31.28.129 W122.18.00.361
                          N047.31.28.101 W122.17.59.881 N047.31.27.961 W122.17.59.937
                          N047.31.28.129 W122.18.00.361 N047.31.28.003 W122.18.00.659
                          N047.31.28.129 W122.17.59.541 N047.31.28.184 W122.17.59.680
                          N047.31.28.157 W122.18.00.021 N047.31.27.858 W122.17.59.895
                          N047.31.28.184 W122.17.59.680 N047.31.28.101 W122.17.59.881
                          N047.31.28.301 W122.17.59.965 N047.31.28.157 W122.18.00.021
                          N047.31.28.375 W122.17.59.643 N047.31.28.385 W122.17.59.764
                          N047.31.28.385 W122.17.59.764 N047.31.28.301 W122.17.59.965
                          N047.31.31.408 W122.17.49.171 N047.31.31.944 W122.17.49.385
                          N047.31.31.678 W122.17.49.278 N047.31.31.678 W122.17.49.493
                          N047.31.31.944 W122.17.49.385 N047.31.31.408 W122.17.49.604
                          N047.31.35.708 W122.18.02.000 N047.31.35.838 W122.18.01.702
                          N047.31.35.838 W122.18.01.702 N047.31.35.927 W122.18.01.628
                          N047.31.35.927 W122.18.01.628 N047.31.36.127 W122.18.01.712
                          N047.31.36.006 W122.18.02.131 N047.31.36.136 W122.18.01.833
                          N047.31.36.006 W122.18.01.306 N047.31.36.090 W122.18.01.111
                          N047.31.36.015 W122.18.01.427 N047.31.36.006 W122.18.01.306
                          N047.31.36.090 W122.18.01.111 N047.31.36.183 W122.18.01.031
                          N047.31.36.127 W122.18.01.712 N047.31.36.136 W122.18.01.833
                          N047.31.36.136 W122.18.01.833 N047.31.36.206 W122.18.01.805
                          N047.31.36.183 W122.18.01.031 N047.31.36.430 W122.18.01.138
                          N047.31.36.206 W122.18.02.215 N047.31.35.708 W122.18.02.000
                          N047.31.36.206 W122.18.01.805 N047.31.36.304 W122.18.01.847
                          N047.31.36.211 W122.18.01.511 N047.31.36.462 W122.18.01.618
                          N047.31.36.304 W122.18.01.847 N047.31.36.332 W122.18.01.916
                          N047.31.36.304 W122.18.01.437 N047.31.36.211 W122.18.01.511
                          N047.31.36.332 W122.18.01.916 N047.31.36.206 W122.18.02.215
                          N047.31.36.388 W122.18.01.236 N047.31.36.304 W122.18.01.437
                          N047.31.36.430 W122.18.01.138 N047.31.36.388 W122.18.01.236
                          N047.31.36.462 W122.18.01.618 N047.31.36.630 W122.18.01.222
                          N047.31.37.576 W122.17.57.328 N047.31.37.986 W122.17.57.738
                          N047.31.37.702 W122.17.57.030 N047.31.37.711 W122.17.57.151
                          N047.31.37.781 W122.17.57.533 N047.31.37.697 W122.17.57.729
                          N047.31.37.785 W122.17.56.830 N047.31.37.702 W122.17.57.030
                          N047.31.37.902 W122.17.57.114 N047.31.37.958 W122.17.57.253
