PDX LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N000.00.00.000
                          N000.00.00.000
                          N045.35.00.334 W122.35.18.177 N045.35.00.334 W122.35.18.056
                          N045.35.00.390 W122.35.33.540 N045.35.00.488 W122.35.33.736
                          N045.35.00.437 W122.35.33.880 N045.35.00.148 W122.35.34.025
                          N045.35.00.479 W122.35.18.466 N045.35.00.334 W122.35.18.177
                          N045.35.00.488 W122.35.33.736 N045.35.00.437 W122.35.33.880
                          N045.35.00.525 W122.33.59.590 N045.35.00.670 W122.33.59.520
                          N045.35.00.525 W122.33.59.711 N045.35.00.525 W122.33.59.590
                          N045.35.00.530 W122.35.17.962 N045.35.00.623 W122.35.18.032
                          N045.35.00.572 W122.34.00.414 N045.35.00.618 W122.34.00.270
                          N045.35.00.618 W122.34.00.270 N045.35.00.670 W122.34.00.242
                          N045.35.00.623 W122.35.18.032 N045.35.00.651 W122.35.17.962
                          N045.35.00.651 W122.35.17.962 N045.35.00.744 W122.35.17.911
                          N045.35.00.665 W122.34.00.605 N045.35.00.572 W122.34.00.414
                          N045.35.00.670 W122.34.00.242 N045.35.00.837 W122.34.00.340
                          N045.35.00.670 W122.33.59.520 N045.35.00.767 W122.33.59.594
                          N045.35.00.670 W122.34.00.004 N045.35.00.525 W122.33.59.711
                          N045.35.00.744 W122.35.17.911 N045.35.00.819 W122.35.17.935
                          N045.35.00.767 W122.33.59.594 N045.35.00.912 W122.33.59.883
                          N045.35.00.767 W122.35.18.321 N045.35.00.623 W122.35.18.032
                          N045.35.00.809 W122.34.00.894 N045.35.01.005 W122.34.01.281
                          N045.35.00.809 W122.34.00.657 N045.35.00.665 W122.34.00.605
                          N045.35.00.819 W122.35.17.935 N045.35.00.963 W122.35.18.228
                          N045.35.00.837 W122.34.00.340 N045.35.00.884 W122.34.00.438
                          N045.35.00.837 W122.34.00.340 N045.35.00.861 W122.34.00.149
                          N045.35.00.861 W122.34.00.629 N045.35.00.809 W122.34.00.657
                          N045.35.00.861 W122.34.00.149 N045.35.00.907 W122.34.00.126
                          N045.35.00.884 W122.34.00.438 N045.35.00.861 W122.34.00.629
                          N045.35.00.907 W122.34.00.126 N045.35.01.056 W122.34.00.172
                          N045.35.00.912 W122.33.59.883 N045.35.00.427 W122.34.00.121
                          N045.35.00.963 W122.35.18.228 N045.35.00.479 W122.35.18.466
                          N045.35.01.005 W122.34.01.281 N045.35.01.098 W122.34.01.234
                          N045.35.01.052 W122.34.00.535 N045.35.00.884 W122.34.00.438
                          N045.35.01.056 W122.34.00.172 N045.35.01.149 W122.34.00.368
                          N045.35.01.098 W122.34.01.234 N045.35.01.149 W122.34.00.726
                          N045.35.01.103 W122.34.00.512 N045.35.01.052 W122.34.00.535
                          N045.35.01.149 W122.34.00.726 N045.35.01.247 W122.34.00.680
                          N045.35.01.149 W122.34.00.368 N045.35.01.103 W122.34.00.512
                          N045.35.01.247 W122.34.00.680 N045.35.01.340 W122.34.00.754
                          N045.35.01.340 W122.34.00.754 N045.35.01.438 W122.34.00.945
                          N045.35.01.438 W122.34.00.945 N045.35.01.438 W122.34.01.067
                          N045.35.01.573 W122.34.07.411 N045.35.01.769 W122.34.07.798
                          N045.35.01.769 W122.34.07.798 N045.35.01.862 W122.34.07.747
                          N045.35.01.862 W122.34.07.989 N045.35.02.444 W122.34.07.942
                          N045.35.01.862 W122.34.07.747 N045.35.01.913 W122.34.07.244
                          N045.35.01.862 W122.35.45.289 N045.35.01.913 W122.35.45.144
                          N045.35.01.913 W122.34.07.244 N045.35.02.011 W122.34.07.192
                          N045.35.01.960 W122.35.45.480 N045.35.01.862 W122.35.45.289
                          N045.35.02.011 W122.34.07.192 N045.35.02.104 W122.34.07.267
                          N045.35.02.104 W122.34.07.267 N045.35.02.202 W122.34.07.458
                          N045.35.02.104 W122.35.45.531 N045.35.01.960 W122.35.45.480
                          N045.35.02.151 W122.34.07.966 N045.35.02.249 W122.34.08.161
                          N045.35.02.202 W122.34.07.458 N045.35.02.202 W122.34.07.579
                          N045.35.02.202 W122.35.45.000 N045.35.02.347 W122.35.45.046
                          N045.35.02.347 W122.35.45.046 N045.35.02.444 W122.35.45.242
                          N045.35.02.379 W122.36.44.698 N045.35.02.188 W122.36.44.311
                          N045.35.02.393 W122.35.45.386 N045.35.02.104 W122.35.45.531
                          N045.35.02.444 W122.34.07.942 N045.35.02.053 W122.34.08.376
                          N045.35.02.444 W122.35.45.242 N045.35.02.393 W122.35.45.386
                          N045.35.02.589 W122.35.31.015 N045.35.02.640 W122.35.30.871
                          N045.35.02.621 W122.36.44.577 N045.35.02.476 W122.36.44.288
                          N045.35.02.640 W122.35.30.871 N045.35.02.733 W122.35.30.824
                          N045.35.02.672 W122.36.44.074 N045.35.02.863 W122.36.44.461
                          N045.35.02.687 W122.35.31.211 N045.35.02.589 W122.35.31.015
                          N045.35.02.733 W122.35.30.824 N045.35.02.882 W122.35.30.871
                          N045.35.02.831 W122.35.31.257 N045.35.02.687 W122.35.31.211
                          N045.35.02.863 W122.36.44.461 N045.35.02.379 W122.36.44.698
                          N045.35.02.878 W122.35.31.476 N045.35.03.073 W122.35.31.379
                          N045.35.02.878 W122.35.31.598 N045.35.02.878 W122.35.31.476
                          N045.35.02.882 W122.35.30.871 N045.35.02.975 W122.35.31.067
                          N045.35.02.975 W122.35.31.067 N045.35.02.929 W122.35.31.211
                          N045.35.02.975 W122.35.30.703 N045.35.03.073 W122.35.30.773
                          N045.35.03.022 W122.35.31.886 N045.35.02.878 W122.35.31.598
                          N045.35.03.073 W122.35.31.379 N045.35.03.166 W122.35.31.453
                          N045.35.03.073 W122.35.30.773 N045.35.03.171 W122.35.30.969
                          N045.35.03.119 W122.35.56.349 N045.35.03.362 W122.35.56.228
