OLM LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N046.58.29.248 W122.54.06.784 N046.58.29.052 W122.54.06.784
                          N046.58.29.248 W122.54.06.523 N046.58.29.313 W122.54.06.588
                          N046.58.29.313 W122.54.06.719 N046.58.29.248 W122.54.06.784
                          N046.58.29.313 W122.54.06.588 N046.58.29.313 W122.54.06.719
                          N046.58.31.344 W122.53.57.798 N046.58.31.344 W122.53.57.542
                          N046.58.31.507 W122.53.57.798 N046.58.31.502 W122.53.57.602
                          N046.58.31.665 W122.53.57.798 N046.58.31.344 W122.53.57.798
                          N046.58.31.665 W122.53.57.537 N046.58.31.665 W122.53.57.798
                          N046.58.32.793 W122.54.03.686 N046.58.32.858 W122.54.03.621
                          N046.58.32.793 W122.54.03.877 N046.58.32.793 W122.54.03.686
                          N046.58.32.793 W122.54.03.877 N046.58.32.793 W122.54.03.877
                          N046.58.32.858 W122.54.03.621 N046.58.33.049 W122.54.03.621
                          N046.58.33.049 W122.54.03.621 N046.58.33.114 W122.54.03.686
                          N046.58.33.114 W122.54.03.877 N046.58.32.793 W122.54.03.877
                          N046.58.33.114 W122.54.03.686 N046.58.33.114 W122.54.03.877
                          N046.58.34.213 W122.54.07.199 N046.58.34.251 W122.54.07.119
                          N046.58.34.213 W122.54.07.436 N046.58.34.213 W122.54.07.199
                          N046.58.34.251 W122.54.07.119 N046.58.34.409 W122.54.07.119
                          N046.58.34.409 W122.54.07.119 N046.58.34.451 W122.54.07.199
                          N046.58.34.451 W122.54.07.199 N046.58.34.488 W122.54.07.161
                          N046.58.34.451 W122.54.07.436 N046.58.34.451 W122.54.07.199
                          N046.58.34.488 W122.54.07.161 N046.58.34.568 W122.54.07.161
                          N046.58.34.568 W122.54.07.161 N046.58.34.609 W122.54.07.199
                          N046.58.34.609 W122.54.07.436 N046.58.34.213 W122.54.07.436
                          N046.58.34.609 W122.54.07.199 N046.58.34.609 W122.54.07.436
                          N046.58.35.103 W122.54.28.017 N046.58.35.499 W122.54.28.091
                          N046.58.35.103 W122.54.27.858 N046.58.35.499 W122.54.27.933
